case,policy,N,failures,F,F95_low,F95_high,F95_upper,family_low,family_high,status,survivors,survivor_reservation_s,survivor_reservation95_low,survivor_reservation95_high,survivor_passes,survivor_passes95_low,survivor_passes95_high,stop_reservation_s,stop_complete_passes,stop_partial_pass_equivalent,stop_read_transactions,stop_completed_writes,stop_actual_bus_s,survivor_read_transactions,survivor_completed_writes,survivor_actual_bus_s,survivor_updates,survivor_average_service_reservation_fraction,minimum_likelihood,computational_failures
xor_groups,Proposed,20000,1656,0.0828,0.07901657487076365,0.08670521205993897,0.08607528791307856,0.07648113267330564,0.08943958102096508,supports_requirement,18344,89.30660743198098,89.13579070280706,89.4774241611549,1703.3883558656782,1700.130285317163,1706.6464264141935,86.73352677143352,1654.307,0.0037370655486668055,867335267.71645,10317.62145,17.346911706768243,893066074.3201047,10670.799880069777,17.86153490239958,1703.3883558656782,0.0496147819066561,3.1615560664786606e-15,0
xor_groups,Count-disabled,20000,1629,0.08145,0.0776952467256774,0.08532694213645899,0.08470154236577537,0.07517975809466826,0.08804200629883797,supports_requirement,18371,116.44436479997326,116.44436479997326,116.44436479997326,2221.0,2221.0,2221.0,112.85079576918292,2152.45445,0.003660222032043797,1128507957.69385,10298.2448,22.57036511878335,1164443648.0,10681.038430134451,23.289086580768775,2221.0,0.06469131377776292,1.0,0
xor_groups,Fixed,20000,964,0.0482,0.045272411613838874,0.05125979837330664,0.0507652562630427,0.04333173061697481,0.05341611042887608,supports_requirement,19036,188.7436799999459,188.7436799999459,188.7436799999459,3600.0,3600.0,3600.0,184.21170501918195,3513.5557,0.0037371649732615806,1842117050.1942,10446.7623,36.842549939141094,1887436800.0,10696.91232401765,37.7489499382478,0.0,0.10485759999996994,1.0,0
xor_groups,Precomputed,20000,1407,0.07035,0.06684339138783224,0.07398211305717636,0.07339590454547881,0.06450050884258997,0.0765299123031149,supports_requirement,18593,141.55775999995177,141.55775999995177,141.55775999995177,2700.0,2700.0,2700.0,138.20178397857933,2635.9859,0.003937238819413885,1382017839.7881,10383.3354,27.6405644624836,1415577600.0,10690.435594040768,28.311765808712206,0.0,0.07864319999997321,1.0,0
xor_groups,PA-DOM,20000,1316,0.0658,0.06240220335792268,0.0693246669060652,0.06875566243365541,0.06013496240870752,0.0717990182045801,supports_requirement,18684,139.8123559264852,139.48477526136054,140.13993659160985,2666.7021515735387,2660.454054556783,2672.9502485902944,135.28418795124696,2580.3309,0.010209300347823915,1352841879.51405,10343.17535,27.057044453798245,1398123559.2652538,10689.761828302291,27.962684980541887,2666.7021515735387,0.07767353107026956,1.0,0
singleton_ablation,Proposed,20000,1680,0.084,0.08019134231137465,0.08793008755405511,0.08729618245314202,0.07763833832564299,0.09068144175255986,supports_requirement,18320,89.80063245411891,89.62811743472143,89.97314747351639,1712.811135371179,1709.5206725073035,1716.1015982350546,87.06979156069393,1660.72045,0.004028926137771553,870697915.6087,10293.1164,17.41416417451528,898006324.5414847,10664.022379912663,17.96033977127716,1712.811135371179,0.04988924025228828,5.190830320439057e-08,0
singleton_ablation,Count-disabled,20000,1663,0.08315,0.07935919095484945,0.08706249181201817,0.08643140263214101,0.07681860974112532,0.08980183161606954,supports_requirement,18337,116.44436479997326,116.44436479997326,116.44436479997326,2221.0,2221.0,2221.0,112.81368846945712,2151.74675,0.003594648037797015,1128136884.69625,10277.86575,22.56294325125165,1164443648.0,10666.944592899601,23.289086298891984,2221.0,0.06469131377776292,1.0,0
singleton_ablation,Fixed,20000,1884,0.0942,0.09018587721888854,0.09833252457110465,0.09766622857647753,0.08748980841890894,0.10122204734961607,unresolved,18116,94.37183999997275,94.37183999997275,94.37183999997275,1800.0,1800.0,1800.0,89.89766092993679,1714.6581,0.003706678065381448,898976609.30115,10172.5649,17.97973563733096,943718400.0,10668.298520644734,18.874581365970435,0.0,0.052428799999984864,1.0,0
singleton_ablation,Precomputed,20000,1884,0.0942,0.09018587721888854,0.09833252457110465,0.09766622857647753,0.08748980841890894,0.10122204734961607,unresolved,18116,94.37183999997275,94.37183999997275,94.37183999997275,1800.0,1800.0,1800.0,89.89766092993679,1714.6581,0.003706678065381448,898976609.30115,10172.5649,17.97973563733096,943718400.0,10668.298520644734,18.874581365970435,0.0,0.052428799999984864,1.0,0
singleton_ablation,PA-DOM,20000,1293,0.06465,0.06128043335906262,0.06814678286183018,0.06758224354799092,0.059032812235389795,0.07060206924535907,supports_requirement,18707,150.16821042027024,149.81300084481288,150.5234199957276,2864.2240872400707,2857.449008248955,2870.9991662311863,145.16933812003228,2768.87475,0.010635896187550403,1451693381.20205,10330.65025,29.034074237056764,1501682104.2031326,10686.19853530764,30.033855808033646,2864.2240872400707,0.0834267835668168,1.0,0
native_word_merged,Proposed,20000,16183,0.80915,0.8036340150753825,0.8145759701438198,0.813712196151571,0.7998038755975185,0.8182588532310475,supports_violation,3817,86.62772026950267,86.24854253781851,87.00689800118684,1652.2926381975374,1645.060396916327,1659.5248794787478,46.58273931119825,888.4311,0.06414137903181488,465827393.13255,5161.08435,9.316651084474547,866277202.6953105,10296.335341891538,17.325749980612937,1652.2926381975374,0.048126511260834816,3.164919277963605e-15,0
native_word_merged,Count-disabled,20000,16176,0.8088,0.8032802542559836,0.8142298332511584,0.8133654331642244,0.7994475696780803,0.8179154284026244,supports_violation,3824,116.44436479997327,116.44436479997327,116.44436479997327,2221.0,2221.0,2221.0,64.68866987663321,1233.78295,0.05551047681214055,646886698.78425,5156.38025,12.937837103404268,1164443648.0,10308.376569037657,23.28907912753156,2221.0,0.06469131377776292,1.0,0
native_word_merged,Fixed,20000,15941,0.79705,0.7914079582835707,0.8026055620273792,0.8017207797848193,0.7874925615093176,0.8063794738486555,supports_violation,4059,471.85919999976176,471.85919999976176,471.85919999976176,9000.0,9000.0,9000.0,235.87209597300907,4498.69635,0.20684772925696726,2358720959.7952,5258.7035,47.17452437037755,4718592000.0,10316.743532889874,94.37204633486543,0.0,0.26214399999986765,1.0,0
native_word_merged,Precomputed,20000,15941,0.79705,0.7914079582835707,0.8026055620273792,0.8017207797848193,0.7874925615093176,0.8063794738486555,supports_violation,4059,471.85919999976176,471.85919999976176,471.85919999976176,9000.0,9000.0,9000.0,235.87209597300907,4498.69635,0.20684772925696726,2358720959.7952,5258.7035,47.17452437037755,4718592000.0,10316.743532889874,94.37204633486543,0.0,0.26214399999986765,1.0,0
native_word_merged,PA-DOM,20000,15943,0.79715,0.791508967388516,0.8027045237160207,0.8018199098397633,0.7875942526827557,0.8064777057770228,supports_violation,4057,463.7772636716369,463.37235558540243,464.18217175787134,8845.820557061868,8838.097625245193,8853.543488878544,228.44026764465048,4356.9388,0.21352171534613498,2284402676.5097,5257.58785,45.68815868238576,4637772636.718758,10314.073453290608,92.75565901583957,8845.820557061868,0.2576540353731316,1.0,0
