mapping,topology_scenario,arrival_scenario,initial_state,scrub_period,representation,trials,e_cap_count,f_a,ci_method,confidence_level,ci_low,ci_high,ci_half_width,precision_limit,precision_satisfied,paired_disagreement_rate_vs_l1,l2_input_fingerprint,signed_error_vs_l1,absolute_error_vs_l1,relative_error_vs_l1
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,0.5,L2-independent_word_marginals,8000,6887,0.860875,wilson_score,0.95,0.8531180338286362,0.8682855608960842,0.0075837635337240306,0.011,True,0.0885,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.0877500000000001,0.0877500000000001,-0.092502305969166
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,0.5,L3-U,8000,4196,0.5245,wilson_score,0.95,0.5135474907845027,0.5354289915729774,0.010940750394237364,0.011,True,,,-0.4241250000000001,0.4241250000000001,-0.4470944788509686
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L0,8000,7588,0.9485,wilson_score,0.95,0.9434379997825784,0.9531314833737421,0.004846741795581866,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L1,8000,7588,0.9485,wilson_score,0.95,0.9434379997825784,0.9531314833737421,0.004846741795581866,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L2-independent_word_marginals,8000,6888,0.861,wilson_score,0.95,0.8532458283224473,0.8684076464143011,0.007580909045926898,0.011,True,0.0885,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08750000000000002,0.08750000000000002,-0.09225092250922512
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L3-U,8000,5925,0.740625,wilson_score,0.95,0.7309068084257049,0.7501122147281181,0.009602703151206593,0.011,True,,,-0.20787500000000003,0.20787500000000003,-0.21916183447548765
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L0,8000,7583,0.947875,wilson_score,0.95,0.9427856531221432,0.9525344299740375,0.004874388425947118,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L1,8000,7583,0.947875,wilson_score,0.95,0.9427856531221432,0.9525344299740375,0.004874388425947118,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L2-independent_word_marginals,8000,6898,0.86225,wilson_score,0.95,0.8545238871868328,0.8696283876701951,0.007552250241681158,0.011,True,0.087125,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08562500000000006,0.08562500000000006,-0.09033364103916662
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L3-U,8000,7242,0.90525,wilson_score,0.95,0.8986364283981881,0.9114745705964581,0.006419071099134976,0.011,True,,,-0.042625000000000024,0.042625000000000024,-0.044969009626796806
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,4.0,L0,8000,7577,0.947125,wilson_score,0.95,0.9420030931248214,0.9518177098991915,0.004907308387185005,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,4.0,L1,8000,7577,0.947125,wilson_score,0.95,0.9420030931248214,0.9518177098991915,0.004907308387185005,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,4.0,L2-independent_word_marginals,8000,6920,0.865,wilson_score,0.95,0.8573363550599554,0.8723132800616876,0.0074884625008661,0.011,True,0.084375,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.082125,0.082125,-0.08670977959614623
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,4.0,L3-U,8000,7820,0.9775,wilson_score,0.95,0.974013759272808,0.9805278866739993,0.0032570637005956415,0.011,True,,,0.03037500000000004,0.03037500000000004,0.032070740398574674
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,0.5,L0,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,0.5,L1,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,0.5,L2-independent_word_marginals,8000,6922,0.86525,wilson_score,0.95,0.8575920849633217,0.8725573101823773,0.007482612609527761,0.011,True,0.087,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08700000000000008,0.08700000000000008,-0.09136256235232353
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,0.5,L3-U,8000,3982,0.49775,wilson_score,0.95,0.48679728860974336,0.5087048711737533,0.010953791282004965,0.011,True,,,-0.4545,0.4545,-0.47729062746127593
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,1.0,L0,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,1.0,L1,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,1.0,L2-independent_word_marginals,8000,6925,0.865625,wilson_score,0.95,0.8579756959255312,0.8729233392562518,0.0074738216653602585,0.011,True,0.086625,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08662500000000006,0.08662500000000006,-0.09096875820425315
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,1.0,L3-U,8000,5657,0.707125,wilson_score,0.95,0.697055256423613,0.7169959235067167,0.009970333541551857,0.011,True,,,-0.24512500000000004,0.24512500000000004,-0.25741664478865844
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,2.0,L0,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,2.0,L1,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,2.0,L2-independent_word_marginals,8000,6927,0.865875,wilson_score,0.95,0.8582314473346051,0.8731673478712336,0.007467950268314261,0.011,True,0.086375,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08637500000000009,0.08637500000000009,-0.09070622210553961
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,2.0,L3-U,8000,6967,0.870875,wilson_score,0.95,0.8633483172130612,0.8780456784738959,0.007348680630417381,0.011,True,,,-0.08137500000000009,0.08137500000000009,-0.08545550013126814
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,4.0,L0,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,4.0,L1,8000,7618,0.95225,wilson_score,0.95,0.9473563514795612,0.9567095320375981,0.0046765902790184555,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,4.0,L2-independent_word_marginals,8000,6927,0.865875,wilson_score,0.95,0.8582314473346051,0.8731673478712336,0.007467950268314261,0.011,True,0.086375,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08637500000000009,0.08637500000000009,-0.09070622210553961
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,clean,4.0,L3-U,8000,7402,0.92525,wilson_score,0.95,0.9192808073041738,0.930810993614946,0.005765093155386092,0.011,True,,,-0.027000000000000024,0.027000000000000024,-0.02835389866106592
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,0.5,L0,8000,7617,0.952125,wilson_score,0.95,0.9472256169266315,0.9565903865784997,0.004682384825934083,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,0.5,L1,8000,7617,0.952125,wilson_score,0.95,0.9472256169266315,0.9565903865784997,0.004682384825934083,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,0.5,L2-independent_word_marginals,8000,6923,0.865375,wilson_score,0.95,0.8577199531339147,0.8726793220238124,0.007479684444948842,0.011,True,0.08675,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08675,0.08675,-0.09111198634633057
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,0.5,L3-U,8000,4289,0.536125,wilson_score,0.95,0.5251823732776824,0.5470329501983979,0.010925288460357785,0.011,True,,,-0.41600000000000004,0.41600000000000004,-0.4369174215570435
