energy_MeV,sigma_cm2_per_bit,origin
0.0549540873858,3.397445685452e-13,ASSUMPTION_low_E_quadratic
0.0575439937337,3.725225116679e-13,ASSUMPTION_low_E_quadratic
0.0602559586074,4.084628116164e-13,ASSUMPTION_low_E_quadratic
0.063095734448,4.478705668727e-13,ASSUMPTION_low_E_quadratic
0.0660693448008,4.910803112702e-13,ASSUMPTION_low_E_quadratic
0.0691830970919,5.384588538630e-13,ASSUMPTION_low_E_quadratic
0.0724435960075,5.904083927810e-13,ASSUMPTION_low_E_quadratic
0.0758577575029,6.473699295043e-13,ASSUMPTION_low_E_quadratic
0.0794328234724,7.098270125402e-13,ASSUMPTION_low_E_quadratic
0.0831763771103,7.783098422838e-13,ASSUMPTION_low_E_quadratic
0.0870963589956,8.533997719078e-13,ASSUMPTION_low_E_quadratic
0.0912010839356,9.357342424905e-13,ASSUMPTION_low_E_quadratic
0.0954992586021,1.026012194275e-12,ASSUMPTION_low_E_quadratic
0.1,1.125000000000e-12,ASSUMPTION_low_E_quadratic
0.104712854805,1.233537970661e-12,ASSUMPTION_low_E_quadratic
0.109647819614,1.352547488945e-12,ASSUMPTION_low_E_quadratic
0.11481536215,1.483038830876e-12,ASSUMPTION_low_E_quadratic
0.120226443462,1.626119742089e-12,ASSUMPTION_low_E_quadratic
0.125892541179,1.783004841519e-12,ASSUMPTION_low_E_quadratic
0.131825673856,1.955025932343e-12,ASSUMPTION_low_E_quadratic
0.13803842646,2.143643307709e-12,ASSUMPTION_low_E_quadratic
0.144543977075,2.350458147211e-12,ASSUMPTION_low_E_quadratic
0.151356124844,2.577226109364e-12,ASSUMPTION_low_E_quadratic
0.158489319246,2.825872235448e-12,ASSUMPTION_low_E_quadratic
0.165958690744,3.098507291255e-12,ASSUMPTION_low_E_quadratic
0.173780082875,3.397445685452e-12,ASSUMPTION_low_E_quadratic
0.181970085861,3.725225116679e-12,ASSUMPTION_low_E_quadratic
0.190546071796,4.084628116164e-12,ASSUMPTION_low_E_quadratic
0.199526231497,4.478705668727e-12,ASSUMPTION_low_E_quadratic
0.208929613085,4.910803112702e-12,ASSUMPTION_low_E_quadratic
0.218776162395,5.384588538630e-12,ASSUMPTION_low_E_quadratic
0.229086765277,5.904083927810e-12,ASSUMPTION_low_E_quadratic
0.239883291902,6.473699295043e-12,ASSUMPTION_low_E_quadratic
0.251188643151,7.098270125402e-12,ASSUMPTION_low_E_quadratic
0.26302679919,7.783098422838e-12,ASSUMPTION_low_E_quadratic
0.275422870334,8.533997719078e-12,ASSUMPTION_low_E_quadratic
0.288403150313,9.357342424905e-12,ASSUMPTION_low_E_quadratic
0.30199517204,1.026012194275e-11,ASSUMPTION_low_E_quadratic
0.316227766017,1.125000000000e-11,ASSUMPTION_low_E_quadratic
0.331131121483,1.233537970661e-11,ASSUMPTION_low_E_quadratic
0.346736850453,1.352547488945e-11,ASSUMPTION_low_E_quadratic
0.36307805477,1.483038830876e-11,ASSUMPTION_low_E_quadratic
0.380189396321,1.626119742089e-11,ASSUMPTION_low_E_quadratic
0.398107170553,1.783004841519e-11,ASSUMPTION_low_E_quadratic
0.41686938347,1.955025932343e-11,ASSUMPTION_low_E_quadratic
0.43651583224,2.143643307709e-11,ASSUMPTION_low_E_quadratic
0.457088189615,2.350458147211e-11,ASSUMPTION_low_E_quadratic
0.478630092323,2.577226109364e-11,ASSUMPTION_low_E_quadratic
0.5,2.812500000000e-11,ASSUMPTION_low_E_quadratic
0.501187233627,2.825872235448e-11,ASSUMPTION_low_E_quadratic
0.51,2.926125000000e-11,ASSUMPTION_low_E_quadratic
0.52,3.042000000000e-11,ASSUMPTION_low_E_quadratic
0.52480746025,3.098507291255e-11,ASSUMPTION_low_E_quadratic
0.53,3.160125000000e-11,ASSUMPTION_low_E_quadratic
0.54,3.280500000000e-11,ASSUMPTION_low_E_quadratic
0.549540873858,3.397445685452e-11,ASSUMPTION_low_E_quadratic
0.55,3.403125000000e-11,ASSUMPTION_low_E_quadratic
0.56,3.528000000000e-11,ASSUMPTION_low_E_quadratic
0.57,3.655125000000e-11,ASSUMPTION_low_E_quadratic
0.575439937337,3.725225116679e-11,ASSUMPTION_low_E_quadratic
0.58,3.784500000000e-11,ASSUMPTION_low_E_quadratic
0.59,3.916125000000e-11,ASSUMPTION_low_E_quadratic
0.6,4.050000000000e-11,EXPERIMENTAL_marker_anchor
0.602559586074,4.186058184745e-11,INTERPOLATION_loglog_between_anchors
0.61,4.604432811399e-11,INTERPOLATION_loglog_between_anchors
0.62,5.223855825451e-11,INTERPOLATION_loglog_between_anchors
0.63,5.914651303162e-11,INTERPOLATION_loglog_between_anchors
0.63095734448,5.984775829348e-11,INTERPOLATION_loglog_between_anchors
0.64,6.683710917541e-11,INTERPOLATION_loglog_between_anchors
0.65,7.538467351902e-11,INTERPOLATION_loglog_between_anchors
0.66,8.486927314121e-11,INTERPOLATION_loglog_between_anchors
0.660693448008,8.556388885869e-11,INTERPOLATION_loglog_between_anchors
0.67,9.537706006695e-11,INTERPOLATION_loglog_between_anchors
0.68,1.070006309291e-10,INTERPOLATION_loglog_between_anchors
0.69,1.198394019992e-10,INTERPOLATION_loglog_between_anchors
0.691830970919,1.223300468619e-10,INTERPOLATION_loglog_between_anchors
0.7,1.340000000000e-10,EXPERIMENTAL_marker_anchor
0.71,1.495828877174e-10,INTERPOLATION_loglog_between_anchors
0.72,1.667211873062e-10,INTERPOLATION_loglog_between_anchors
0.724435960075,1.748553731616e-10,INTERPOLATION_loglog_between_anchors
0.73,1.855452656494e-10,INTERPOLATION_loglog_between_anchors
0.74,2.061943896505e-10,INTERPOLATION_loglog_between_anchors
0.75,2.288171993441e-10,INTERPOLATION_loglog_between_anchors
0.758577575029,2.499146477451e-10,INTERPOLATION_loglog_between_anchors
0.76,2.535721992056e-10,INTERPOLATION_loglog_between_anchors
0.77,2.806282680980e-10,INTERPOLATION_loglog_between_anchors
0.78,3.101651883023e-10,INTERPOLATION_loglog_between_anchors
0.79,3.423741940789e-10,INTERPOLATION_loglog_between_anchors
0.794328234724,3.571942344593e-10,INTERPOLATION_loglog_between_anchors
0.8,3.774585402138e-10,INTERPOLATION_loglog_between_anchors
0.81,4.156340910085e-10,INTERPOLATION_loglog_between_anchors
0.82,4.571299301735e-10,INTERPOLATION_loglog_between_anchors
0.83,5.021889920954e-10,INTERPOLATION_loglog_between_anchors
0.831763771103,5.105251824258e-10,INTERPOLATION_loglog_between_anchors
0.84,5.510687149456e-10,INTERPOLATION_loglog_between_anchors
0.85,6.040417161088e-10,INTERPOLATION_loglog_between_anchors
0.86,6.613964904096e-10,INTERPOLATION_loglog_between_anchors
0.87,7.234381316225e-10,INTERPOLATION_loglog_between_anchors
0.870963589956,7.296757247088e-10,INTERPOLATION_loglog_between_anchors
0.88,7.904890777538e-10,INTERPOLATION_loglog_between_anchors
0.89,8.628898805885e-10,INTERPOLATION_loglog_between_anchors
0.9,9.410000000000e-10,EXPERIMENTAL_marker_anchor
0.91,9.710598879879e-10,INTERPOLATION_loglog_between_anchors
0.912010839356,9.771786435457e-10,INTERPOLATION_loglog_between_anchors
0.92,1.001735703905e-09,INTERPOLATION_loglog_between_anchors
0.93,1.033033167303e-09,INTERPOLATION_loglog_between_anchors
0.94,1.064957988151e-09,INTERPOLATION_loglog_between_anchors
0.95,1.097515866956e-09,INTERPOLATION_loglog_between_anchors
