0.000000000000e+00	0.000000000000e+00
1.000000000000e-03	1.125000000000e-16
1.047128548051e-03	1.233537970661e-16
1.096478196143e-03	1.352547488945e-16
1.148153621497e-03	1.483038830876e-16
1.202264434617e-03	1.626119742089e-16
1.258925411794e-03	1.783004841519e-16
1.318256738556e-03	1.955025932343e-16
1.380384264603e-03	2.143643307709e-16
1.445439770746e-03	2.350458147211e-16
1.513561248436e-03	2.577226109364e-16
1.584893192461e-03	2.825872235448e-16
1.659586907438e-03	3.098507291255e-16
1.737800828749e-03	3.397445685452e-16
1.819700858610e-03	3.725225116679e-16
1.905460717963e-03	4.084628116164e-16
1.995262314969e-03	4.478705668727e-16
2.089296130854e-03	4.910803112702e-16
2.187761623950e-03	5.384588538630e-16
2.290867652768e-03	5.904083927810e-16
2.398832919019e-03	6.473699295043e-16
2.511886431510e-03	7.098270125402e-16
2.630267991895e-03	7.783098422838e-16
2.754228703338e-03	8.533997719078e-16
2.884031503127e-03	9.357342424905e-16
3.019951720402e-03	1.026012194275e-15
3.162277660168e-03	1.125000000000e-15
3.311311214826e-03	1.233537970661e-15
3.467368504525e-03	1.352547488945e-15
3.630780547701e-03	1.483038830876e-15
3.801893963206e-03	1.626119742089e-15
3.981071705535e-03	1.783004841519e-15
4.168693834703e-03	1.955025932343e-15
4.365158322402e-03	2.143643307709e-15
4.570881896149e-03	2.350458147211e-15
4.786300923226e-03	2.577226109364e-15
5.011872336273e-03	2.825872235448e-15
5.248074602498e-03	3.098507291255e-15
5.495408738576e-03	3.397445685452e-15
5.754399373372e-03	3.725225116679e-15
6.025595860744e-03	4.084628116164e-15
6.309573444802e-03	4.478705668727e-15
6.606934480076e-03	4.910803112702e-15
6.918309709189e-03	5.384588538630e-15
7.244359600750e-03	5.904083927810e-15
7.585775750292e-03	6.473699295043e-15
7.943282347243e-03	7.098270125402e-15
8.317637711027e-03	7.783098422838e-15
8.709635899561e-03	8.533997719078e-15
9.120108393559e-03	9.357342424905e-15
9.549925860214e-03	1.026012194275e-14
1.000000000000e-02	1.125000000000e-14
1.047128548051e-02	1.233537970661e-14
1.096478196143e-02	1.352547488945e-14
1.148153621497e-02	1.483038830876e-14
1.202264434617e-02	1.626119742089e-14
1.258925411794e-02	1.783004841519e-14
1.318256738556e-02	1.955025932343e-14
1.380384264603e-02	2.143643307709e-14
1.445439770746e-02	2.350458147211e-14
1.513561248436e-02	2.577226109364e-14
1.584893192461e-02	2.825872235448e-14
1.659586907438e-02	3.098507291255e-14
1.737800828749e-02	3.397445685452e-14
1.819700858610e-02	3.725225116679e-14
1.905460717963e-02	4.084628116164e-14
1.995262314969e-02	4.478705668727e-14
2.089296130854e-02	4.910803112702e-14
2.187761623950e-02	5.384588538630e-14
2.290867652768e-02	5.904083927810e-14
2.398832919019e-02	6.473699295043e-14
2.511886431510e-02	7.098270125402e-14
2.630267991895e-02	7.783098422838e-14
2.754228703338e-02	8.533997719078e-14
2.884031503127e-02	9.357342424905e-14
3.019951720402e-02	1.026012194275e-13
3.162277660168e-02	1.125000000000e-13
3.311311214826e-02	1.233537970661e-13
3.467368504525e-02	1.352547488945e-13
3.630780547701e-02	1.483038830876e-13
3.801893963206e-02	1.626119742089e-13
3.981071705535e-02	1.783004841519e-13
4.168693834703e-02	1.955025932343e-13
4.365158322402e-02	2.143643307709e-13
4.570881896149e-02	2.350458147211e-13
4.786300923226e-02	2.577226109364e-13
5.011872336273e-02	2.825872235448e-13
5.248074602498e-02	3.098507291255e-13
5.495408738576e-02	3.397445685452e-13
5.754399373372e-02	3.725225116679e-13
6.025595860744e-02	4.084628116164e-13
6.309573444802e-02	4.478705668727e-13
6.606934480076e-02	4.910803112702e-13
6.918309709189e-02	5.384588538630e-13
7.244359600750e-02	5.904083927810e-13
7.585775750292e-02	6.473699295043e-13
7.943282347243e-02	7.098270125402e-13
8.317637711027e-02	7.783098422838e-13
8.709635899561e-02	8.533997719078e-13
9.120108393559e-02	9.357342424905e-13
9.549925860214e-02	1.026012194275e-12
1.000000000000e-01	1.125000000000e-12
1.047128548051e-01	1.233537970661e-12
1.096478196143e-01	1.352547488945e-12
1.148153621497e-01	1.483038830876e-12
1.202264434617e-01	1.626119742089e-12
1.258925411794e-01	1.783004841519e-12
1.318256738556e-01	1.955025932343e-12
1.380384264603e-01	2.143643307709e-12
1.445439770746e-01	2.350458147211e-12
1.513561248436e-01	2.577226109364e-12
1.584893192461e-01	2.825872235448e-12
1.659586907438e-01	3.098507291255e-12
1.737800828749e-01	3.397445685452e-12
1.819700858610e-01	3.725225116679e-12
1.905460717963e-01	4.084628116164e-12
1.995262314969e-01	4.478705668727e-12
2.089296130854e-01	4.910803112702e-12
2.187761623950e-01	5.384588538630e-12
2.290867652768e-01	5.904083927810e-12
2.398832919019e-01	6.473699295043e-12
2.511886431510e-01	7.098270125402e-12
2.630267991895e-01	7.783098422838e-12
2.754228703338e-01	8.533997719078e-12
2.884031503127e-01	9.357342424905e-12
3.019951720402e-01	1.026012194275e-11
3.162277660168e-01	1.125000000000e-11
3.311311214826e-01	1.233537970661e-11
3.467368504525e-01	1.352547488945e-11
3.630780547701e-01	1.483038830876e-11
3.801893963206e-01	1.626119742089e-11
3.981071705535e-01	1.783004841519e-11
4.168693834703e-01	1.955025932343e-11
4.365158322402e-01	2.143643307709e-11
4.570881896149e-01	2.350458147211e-11
4.786300923226e-01	2.577226109364e-11
5.000000000000e-01	2.812500000000e-11
5.011872336273e-01	2.825872235448e-11
5.100000000000e-01	2.926125000000e-11
5.200000000000e-01	3.042000000000e-11
5.248074602498e-01	3.098507291255e-11
5.300000000000e-01	3.160125000000e-11
5.400000000000e-01	3.280500000000e-11
5.495408738576e-01	3.397445685452e-11
5.500000000000e-01	3.403125000000e-11
5.600000000000e-01	3.528000000000e-11
5.700000000000e-01	3.655125000000e-11
5.754399373372e-01	3.725225116679e-11
5.800000000000e-01	3.784500000000e-11
5.900000000000e-01	3.916125000000e-11
6.000000000000e-01	4.050000000000e-11
6.025595860744e-01	4.186058184745e-11
6.100000000000e-01	4.604432811399e-11
6.200000000000e-01	5.223855825451e-11
6.300000000000e-01	5.914651303162e-11
6.309573444802e-01	5.984775829348e-11
6.400000000000e-01	6.683710917541e-11
6.500000000000e-01	7.538467351902e-11
6.600000000000e-01	8.486927314121e-11
6.606934480076e-01	8.556388885869e-11
6.700000000000e-01	9.537706006695e-11
6.800000000000e-01	1.070006309291e-10
6.900000000000e-01	1.198394019992e-10
6.918309709189e-01	1.223300468619e-10
7.000000000000e-01	1.340000000000e-10
7.100000000000e-01	1.495828877174e-10
7.200000000000e-01	1.667211873062e-10
7.244359600750e-01	1.748553731616e-10
7.300000000000e-01	1.855452656494e-10
7.400000000000e-01	2.061943896505e-10
7.500000000000e-01	2.288171993441e-10
7.585775750292e-01	2.499146477451e-10
7.600000000000e-01	2.535721992056e-10
7.700000000000e-01	2.806282680980e-10
7.800000000000e-01	3.101651883023e-10
7.900000000000e-01	3.423741940789e-10
7.943282347243e-01	3.571942344593e-10
8.000000000000e-01	3.774585402138e-10
8.100000000000e-01	4.156340910085e-10
8.200000000000e-01	4.571299301735e-10
8.300000000000e-01	5.021889920954e-10
8.317637711027e-01	5.105251824258e-10
8.400000000000e-01	5.510687149456e-10
8.500000000000e-01	6.040417161088e-10
8.600000000000e-01	6.613964904096e-10
8.700000000000e-01	7.234381316225e-10
8.709635899561e-01	7.296757247088e-10
8.800000000000e-01	7.904890777538e-10
8.900000000000e-01	8.628898805885e-10
9.000000000000e-01	9.410000000000e-10
9.100000000000e-01	9.710598879879e-10
9.120108393559e-01	9.771786435457e-10
9.200000000000e-01	1.001735703905e-09
9.300000000000e-01	1.033033167303e-09
9.400000000000e-01	1.064957988151e-09
9.500000000000e-01	1.097515866956e-09
9.549925860214e-01	1.114009370384e-09
9.600000000000e-01	1.130712494875e-09
9.700000000000e-01	1.164553553834e-09
9.800000000000e-01	1.199044716635e-09
9.900000000000e-01	1.234191647064e-09
1.000000000000e+00	1.270000000000e-09
1.010000000000e+00	1.126284440871e-09
1.020000000000e+00	1.000014518282e-09
1.030000000000e+00	8.889316227841e-10
1.040000000000e+00	7.910874614291e-10
1.047128548051e+00	7.284826334166e-10
1.050000000000e+00	7.047990074072e-10
1.060000000000e+00	6.286103341865e-10
1.070000000000e+00	5.612602304073e-10
