LET_MeV_cm2_mg,sigma_normal_cm2_per_bit,sigma_iso60_cm2_per_bit
0,0.000000000000e+00,0.000000000000e+00
0.001,0.000000000000e+00,0.000000000000e+00
0.00103514216668,0.000000000000e+00,0.000000000000e+00
0.00107151930524,0.000000000000e+00,0.000000000000e+00
0.00110917481526,0.000000000000e+00,0.000000000000e+00
0.0011481536215,0.000000000000e+00,0.000000000000e+00
0.00118850222744,0.000000000000e+00,0.000000000000e+00
0.00123026877081,0.000000000000e+00,0.000000000000e+00
0.00127350308102,0.000000000000e+00,0.000000000000e+00
0.00131825673856,0.000000000000e+00,0.000000000000e+00
0.00136458313659,0.000000000000e+00,0.000000000000e+00
0.00141253754462,0.000000000000e+00,0.000000000000e+00
0.00146217717446,0.000000000000e+00,0.000000000000e+00
0.00151356124844,0.000000000000e+00,0.000000000000e+00
0.00156675107011,0.000000000000e+00,0.000000000000e+00
0.00162181009736,0.000000000000e+00,0.000000000000e+00
0.00167880401812,0.000000000000e+00,0.000000000000e+00
0.00173780082875,0.000000000000e+00,0.000000000000e+00
0.00179887091513,0.000000000000e+00,0.000000000000e+00
0.00186208713666,0.000000000000e+00,0.000000000000e+00
0.00192752491319,0.000000000000e+00,0.000000000000e+00
0.00199526231497,0.000000000000e+00,0.000000000000e+00
0.00206538015581,0.000000000000e+00,0.000000000000e+00
0.0021379620895,0.000000000000e+00,0.000000000000e+00
0.00221309470961,0.000000000000e+00,0.000000000000e+00
0.00229086765277,0.000000000000e+00,0.000000000000e+00
0.00237137370566,0.000000000000e+00,0.000000000000e+00
0.00245470891569,0.000000000000e+00,0.000000000000e+00
0.00254097270555,0.000000000000e+00,0.000000000000e+00
0.0026302679919,0.000000000000e+00,0.000000000000e+00
0.00272270130808,0.000000000000e+00,0.000000000000e+00
0.00281838293126,0.000000000000e+00,0.000000000000e+00
0.002917427014,0.000000000000e+00,0.000000000000e+00
0.0030199517204,0.000000000000e+00,0.000000000000e+00
0.00312607936712,0.000000000000e+00,0.000000000000e+00
0.0032359365693,0.000000000000e+00,0.000000000000e+00
0.00334965439158,0.000000000000e+00,0.000000000000e+00
0.00346736850453,0.000000000000e+00,0.000000000000e+00
0.00358921934645,0.000000000000e+00,0.000000000000e+00
0.00371535229097,0.000000000000e+00,0.000000000000e+00
0.00384591782045,0.000000000000e+00,0.000000000000e+00
0.00398107170553,0.000000000000e+00,0.000000000000e+00
0.00412097519097,0.000000000000e+00,0.000000000000e+00
0.00426579518802,0.000000000000e+00,0.000000000000e+00
0.00441570447353,0.000000000000e+00,0.000000000000e+00
0.00457088189615,0.000000000000e+00,0.000000000000e+00
0.00473151258961,0.000000000000e+00,0.000000000000e+00
0.00489778819368,0.000000000000e+00,0.000000000000e+00
0.00506990708275,0.000000000000e+00,0.000000000000e+00
0.0052480746025,0.000000000000e+00,0.000000000000e+00
0.00543250331492,0.000000000000e+00,0.000000000000e+00
0.0056234132519,0.000000000000e+00,0.000000000000e+00
0.00582103217771,0.000000000000e+00,0.000000000000e+00
0.00602559586074,0.000000000000e+00,0.000000000000e+00
0.00623734835482,0.000000000000e+00,0.000000000000e+00
0.00645654229035,0.000000000000e+00,0.000000000000e+00
0.00668343917569,0.000000000000e+00,0.000000000000e+00
0.00691830970919,0.000000000000e+00,0.000000000000e+00
0.00716143410213,0.000000000000e+00,0.000000000000e+00
0.00741310241301,0.000000000000e+00,0.000000000000e+00
0.00767361489362,0.000000000000e+00,0.000000000000e+00
