energy_MeV,K,registered_count,registered_total,recorded_bit_total,conditional_probability,scope
164,12,3,8668,13358,0.0003461005999077065,"registered clusters, not fluence-normalized physical event population"
164,13,1,8668,13358,0.0001153668666359022,"registered clusters, not fluence-normalized physical event population"
164,14,1,8668,13358,0.0001153668666359022,"registered clusters, not fluence-normalized physical event population"
164,17,1,8668,13358,0.0001153668666359022,"registered clusters, not fluence-normalized physical event population"
164,29,1,8668,13358,0.0001153668666359022,"registered clusters, not fluence-normalized physical event population"
186,1,6150,8356,12972,0.7359980852082336,"registered clusters, not fluence-normalized physical event population"
186,2,1169,8356,12972,0.1398994734322642,"registered clusters, not fluence-normalized physical event population"
186,3,469,8356,12972,0.05612733365246529,"registered clusters, not fluence-normalized physical event population"
186,4,250,8356,12972,0.0299186213499282,"registered clusters, not fluence-normalized physical event population"
186,5,124,8356,12972,0.01483963618956438,"registered clusters, not fluence-normalized physical event population"
186,6,82,8356,12972,0.009813307802776448,"registered clusters, not fluence-normalized physical event population"
186,7,42,8356,12972,0.005026328386787937,"registered clusters, not fluence-normalized physical event population"
186,8,27,8356,12972,0.003231211105792245,"registered clusters, not fluence-normalized physical event population"
186,9,18,8356,12972,0.00215414073719483,"registered clusters, not fluence-normalized physical event population"
186,10,11,8356,12972,0.001316419339396841,"registered clusters, not fluence-normalized physical event population"
186,11,5,8356,12972,0.0005983724269985639,"registered clusters, not fluence-normalized physical event population"
186,12,4,8356,12972,0.0004786979415988511,"registered clusters, not fluence-normalized physical event population"
186,14,2,8356,12972,0.0002393489707994256,"registered clusters, not fluence-normalized physical event population"
186,16,1,8356,12972,0.0001196744853997128,"registered clusters, not fluence-normalized physical event population"
186,17,1,8356,12972,0.0001196744853997128,"registered clusters, not fluence-normalized physical event population"
186,19,1,8356,12972,0.0001196744853997128,"registered clusters, not fluence-normalized physical event population"
