shield_mm,absolute_status,reference_low_spectrum_gamma,valid_5min_intervals,coverage_fraction,median_s-1,mean_s-1,p90_s-1,p95_s-1,p99_s-1,p99_9_s-1,max_s-1,max_timestamp_utc,dynamic_range_max_over_median,total_expected_flipped_bits_observed_intervals,measured_support_median_s-1,median_fraction_from_low_spectrum_extrapolation,p99_fraction_from_low_spectrum_extrapolation,mean_primary_fraction,mean_secondary_fraction,p99_secondary_fraction,max_secondary_fraction,mean_rate_fraction_from_0p8_1p2MeV_output,p99_rate_fraction_from_0p8_1p2MeV_output,mean_rate_fraction_from_input_gt200MeV,p99_rate_fraction_from_input_gt200MeV,median_high_gap_bridge_fraction,p99_high_gap_bridge_fraction,median_flat_P10_390_500_gap_fraction_diagnostic,p99_flat_P10_390_500_gap_fraction_diagnostic,median_P11_gt500_fraction,median_EW_relative_discrepancy,p95_EW_relative_discrepancy,p99_EW_relative_discrepancy,median_L2_uncertainty_envelope_relative_halfwidth,p95_L2_uncertainty_envelope_relative_halfwidth,median_sigma_model_range_relative_to_main,p95_sigma_model_range_relative_to_main,low_gamma0_median_s-1,low_gamma0_p99_s-1,low_gamma2_median_s-1,low_gamma2_p99_s-1,low_gamma4_median_s-1,low_gamma4_p99_s-1
0.0,PARTIAL_LOW_SPECTRUM_AND_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,0.568204556422509,15.50956624823349,7.561734185835466,15.792475345258689,70.95878345577489,5241.751696777323,11033.035058873484,2026-01-19T19:30:00+00:00,19417.364634206617,78963854.63963118,0.3127535149009619,0.44941678270543084,0.44980658779697613,1.0,0.0,0.0,0.0,0.6856272993736868,0.6882477400523316,2.3785036917291252e-05,0.0002887260037845243,1.9151496392193163e-07,1.2131528524033783e-05,2.1071702617964019e-07,1.3922730717193752e-05,4.305937548543064e-06,0.7234270088994016,1.648177719703368,1.8916118579169712,0.22868108386701713,0.3469942051652592,0.49568767414899667,0.4961104850447362,0.5078727305301339,63.501005417451104,0.568204556422509,70.95878345577489,0.6591248468281534,82.16745855503139
1.0,PARTIAL_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,0.00010147075724821494,0.07364264484091243,0.0019130198003885297,0.010797703795785422,0.34666340352725056,21.423825809563034,58.70978437529904,2026-01-19T19:20:00+00:00,578588.2156342324,374936.7976785374,0.00010137509344111472,-6.0548563985770275e-19,1.9548614612943994e-16,0.9999029891495743,9.701085042583141e-05,0.00019201331442296867,0.0005185019104124267,0.6642241757177707,0.6993821656617676,0.02861628179472026,0.08035286327395111,0.0010624428647560598,0.003749274522691587,0.001170292820655192,0.00435887637922765,0.024136265699560486,0.4621887334418106,1.295810913877221,1.6555797240159345,0.5639379570214562,0.7285664511522401,0.9301219326399376,0.9909702088904775,0.00010147075724821494,0.34666340352725056,0.00010147075724821494,0.34666340352725056,0.00010147075724821494,0.34666340352725056
2.0,PARTIAL_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,6.084417573435228e-05,0.01822368339005154,0.0004325003278519516,0.0019631361277899695,0.09356238765309896,4.98048787277911,12.35994310818449,2026-01-19T19:20:00+00:00,203140.94092010416,92782.23924376942,6.0728357058572615e-05,1.166425901704714e-18,1.9611116657807205e-16,0.9997539752695752,0.00024602473042458634,0.0005029297587743773,0.0013457208325195209,0.6445018520047178,0.6929690547147066,0.04975254459717982,0.15786551043951305,0.0017724035783638333,0.0072790078734674265,0.0019779077584319844,0.008429019753821052,0.04010331444361347,0.5130404973171822,1.4425624063269944,1.771414884464568,0.5200278860170457,0.6857458487039805,0.9128708658644418,0.9721218479907031,6.084417573435228e-05,0.09356238765309896,6.084417573435228e-05,0.09356238765309896,6.084417573435228e-05,0.09356238765309896
3.0,PARTIAL_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,2.8886786427315624e-05,0.009199369319193301,0.00021287239643355495,0.0009326700023025499,0.049858042599997376,2.4520824884092898,6.1249307520447385,2026-01-19T19:20:00+00:00,212032.26490617677,46836.749014808855,2.876327470241222e-05,-1.7101872739810767e-18,1.9077432785249042e-16,0.9994038085458848,0.0005961914541150712,0.001250611373205593,0.001536639040388903,0.5953392127074081,0.6920121525812835,0.09930283234580926,0.2662277842530666,0.0036994844232212487,0.0126794398746725,0.004113166163965179,0.014785411918416034,0.08421352394283703,0.4360603644148577,1.227094336611207,1.5303988627173464,0.521862857484081,0.6623221338428465,0.841796770527581,0.9685345482796547,2.8886786427315624e-05,0.049858042599997376,2.8886786427315624e-05,0.049858042599997376,2.8886786427315624e-05,0.049858042599997376
5.0,PARTIAL_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,7.168244789335396e-06,0.002485993083989759,5.027814926650291e-05,0.00020156451708873294,0.0149456736147361,0.5974734280784295,1.535861812063469,2026-01-19T19:15:00+00:00,214259.11882201032,12656.936588517061,7.046567229135136e-06,0.0,1.953653176934793e-16,0.9989902971910595,0.0010097028089404662,0.0017612284551197972,0.0029849533040954604,0.30010070973815606,0.6801381895601939,0.3921189619628679,0.7486228000277614,0.01453935265547083,0.04313300657282534,0.01614297736159423,0.050842672339689435,0.34057542546195624,0.46255577918168017,1.1591338028286975,1.3494416711009425,0.5367571391212574,0.6828104874689895,0.4067900153770385,0.9400126835986657,7.168244789335396e-06,0.0149456736147361,7.168244789335396e-06,0.0149456736147361,7.168244789335396e-06,0.0149456736147361
7.0,PARTIAL_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,6.742016442970413e-06,0.0014262479102191505,3.111056345381593e-05,0.00011686578632009548,0.008712598994145084,0.34030689659968255,0.8755319954691225,2026-01-19T19:15:00+00:00,129862.03799339573,7261.455985298763,6.623976398412818e-06,0.0,1.9144951095578824e-16,0.9995226538268313,0.0004773461731688015,0.0009226445808840704,0.0009414409065569448,0.2952993202556326,0.682790124017208,0.4022137668858254,0.7203572459585817,0.0157911521839486,0.03981183885222709,0.01754493367206956,0.04674197935340616,0.3632317039221649,0.3448151033554468,0.915472628918131,1.1267023428195984,0.4837846946264242,0.5957181540233739,0.3783699365206878,0.9333354368673168,6.742016442970413e-06,0.008712598994145084,6.742016442970413e-06,0.008712598994145084,6.742016442970413e-06,0.008712598994145084
10.0,PARTIAL_SIGMA_EXTRAPOLATION,2.0,16971,0.9987641242937854,6.157799542570139e-06,0.0005307433867940361,1.4744076657856456e-05,4.621714913535272e-05,0.003323411127773229,0.12326931025468298,0.31812406426068474,2026-01-19T19:15:00+00:00,51661.971465850336,2702.173805184475,6.042962791442609e-06,0.0,1.8764687420864622e-16,0.9995875007707833,0.0004124992292166283,0.0008061122478585482,0.0008710604790776069,0.26742726309786086,0.6863090825044762,0.4383454999150713,0.7090069632275993,0.01739799378500062,0.03950602501371503,0.01940553050945719,0.04677310375643591,0.3979520201124175,0.2599448094231765,0.7374973207025812,0.9290369814623125,0.4232132856978603,0.4974650630341606,0.3358285878950894,0.8979726030729394,6.157799542570139e-06,0.003323411127773229,6.157799542570139e-06,0.003323411127773229,6.157799542570139e-06,0.003323411127773229
