timestamp_utc,algorithm_version,east_valid,west_valid,east_quality_flag,west_quality_flag,d0_lambda_E_s-1,d0_lambda_W_s-1,d0_lambda_central_s-1,d0_lambda_central_h-1,d0_m5_central_bits,d0_primary_central_s-1,d0_secondary_central_s-1,d1_lambda_E_s-1,d1_lambda_W_s-1,d1_lambda_central_s-1,d1_lambda_central_h-1,d1_m5_central_bits,d1_primary_central_s-1,d1_secondary_central_s-1,d2_lambda_E_s-1,d2_lambda_W_s-1,d2_lambda_central_s-1,d2_lambda_central_h-1,d2_m5_central_bits,d2_primary_central_s-1,d2_secondary_central_s-1,d3_lambda_E_s-1,d3_lambda_W_s-1,d3_lambda_central_s-1,d3_lambda_central_h-1,d3_m5_central_bits,d3_primary_central_s-1,d3_secondary_central_s-1,d5_lambda_E_s-1,d5_lambda_W_s-1,d5_lambda_central_s-1,d5_lambda_central_h-1,d5_m5_central_bits,d5_primary_central_s-1,d5_secondary_central_s-1,d7_lambda_E_s-1,d7_lambda_W_s-1,d7_lambda_central_s-1,d7_lambda_central_h-1,d7_m5_central_bits,d7_primary_central_s-1,d7_secondary_central_s-1,d10_lambda_E_s-1,d10_lambda_W_s-1,d10_lambda_central_s-1,d10_lambda_central_h-1,d10_m5_central_bits,d10_primary_central_s-1,d10_secondary_central_s-1,d0_measured_support_central_s-1,d0_low_gamma0_central_s-1,d0_low_gamma4_central_s-1
2026-01-01T00:50:00+00:00,3.2,1,1,0,0,1.2971190e-02,2.1679309e-03,7.5695605e-03,2.7250418e+01,2.2708682e+00,7.5695605e-03,0.0000000e+00,6.5480966e-05,1.7017874e-04,1.1782985e-04,4.2418746e-01,3.5348955e-02,1.1782162e-04,8.2344469e-09,5.9077974e-05,5.8438485e-05,5.8758229e-05,2.1152963e-01,1.7627469e-02,5.8747643e-05,1.0586759e-08,2.6360899e-05,2.5715705e-05,2.6038302e-05,9.3737887e-02,7.8114906e-03,2.6025295e-05,1.3007376e-08,4.8531742e-06,4.3781030e-06,4.6156386e-06,1.6616299e-02,1.3846916e-03,4.6112471e-06,4.3914291e-09,5.2314590e-06,5.1191145e-06,5.1752868e-06,1.8631032e-02,1.5525860e-03,5.1739085e-06,1.3782329e-09,5.4943235e-06,5.6290490e-06,5.5616863e-06,2.0022071e-02,1.6685059e-03,5.5599534e-06,1.7328980e-09,4.1688846e-03,6.7668258e-03,8.7818396e-03
2026-01-01T00:55:00+00:00,3.2,1,1,0,0,1.2971943e-02,8.6538445e-03,1.0812894e-02,3.8926417e+01,3.2438681e+00,1.0812894e-02,0.0000000e+00,3.5794045e-05,9.7109799e-05,6.6451922e-05,2.3922692e-01,1.9935577e-02,6.6444782e-05,7.1400832e-09,3.2591427e-05,7.1547877e-05,5.2069652e-05,1.8745075e-01,1.5620896e-02,5.2061957e-05,7.6950292e-09,1.6234615e-05,3.0636078e-05,2.3435346e-05,8.4367247e-02,7.0306039e-03,2.3425858e-05,9.4883902e-09,5.5742671e-06,3.6934718e-06,4.6338695e-06,1.6681930e-02,1.3901608e-03,4.6302213e-06,3.6481904e-09,5.9537529e-06,4.0634085e-06,5.0085807e-06,1.8030890e-02,1.5025742e-03,5.0076539e-06,9.2677573e-10,6.2155899e-06,4.3208712e-06,5.2682306e-06,1.8965630e-02,1.5804692e-03,5.2670499e-06,1.1806331e-09,5.9542280e-03,9.6659958e-03,1.2544923e-02
2026-01-01T01:00:00+00:00,3.2,1,1,0,0,1.7287306e-02,8.7769419e-03,1.3032124e-02,4.6915646e+01,3.9096372e+00,1.3032124e-02,0.0000000e+00,5.3451264e-05,1.0270841e-04,7.8079835e-05,2.8108740e-01,2.3423950e-02,7.8072991e-05,6.8438163e-09,3.2694087e-05,4.7197844e-05,3.9945965e-05,1.4380548e-01,1.1983790e-02,3.9937105e-05,8.8604609e-09,1.6336015e-05,2.5051171e-05,2.0693593e-05,7.4496935e-02,6.2080779e-03,2.0683082e-05,1.0510998e-08,5.6729167e-06,9.2876932e-06,7.4803049e-06,2.6929098e-02,2.2440915e-03,7.4751794e-06,5.1254933e-09,6.0517578e-06,7.9113434e-06,6.9815506e-06,2.5133582e-02,2.0944652e-03,6.9789519e-06,2.5986801e-09,6.3131193e-06,6.6351421e-06,6.4741307e-06,2.3306871e-02,1.9422392e-03,6.4720581e-06,2.0726149e-09,7.2018582e-03,1.1655869e-02,1.5110525e-02
2026-01-01T01:05:00+00:00,3.2,1,1,0,0,1.9583081e-02,4.3271690e-03,1.1955125e-02,4.3038449e+01,3.5865374e+00,1.1955125e-02,0.0000000e+00,6.8467079e-05,7.2065540e-05,7.0266310e-05,2.5295871e-01,2.1079893e-02,7.0262159e-05,4.1508157e-09,4.6108193e-05,1.7782506e-05,3.1945349e-05,1.1500326e-01,9.5836048e-03,3.1939592e-05,5.7575686e-09,2.1568122e-05,9.6028152e-06,1.5585468e-05,5.6107686e-02,4.6756405e-03,1.5578328e-05,7.1407569e-09,5.4814027e-06,4.5427724e-06,5.0120875e-06,1.8043515e-02,1.5036263e-03,5.0094184e-06,2.6691380e-09,5.8617703e-06,5.2878648e-06,5.5748176e-06,2.0069343e-02,1.6724453e-03,5.5734499e-06,1.3676816e-09,6.1267592e-06,5.7999120e-06,5.9633356e-06,2.1468008e-02,1.7890007e-03,5.9615939e-06,1.7417717e-09,6.6102984e-03,1.0693476e-02,1.3860450e-02
2026-01-01T01:10:00+00:00,3.2,1,1,0,0,2.1671224e-03,8.6503425e-03,5.4087325e-03,1.9471437e+01,1.6226197e+00,5.4087325e-03,0.0000000e+00,1.0287531e-04,9.7248948e-05,1.0006213e-04,3.6022367e-01,3.0018639e-02,1.0005392e-04,8.2101380e-09,4.5405115e-05,7.1681719e-05,5.8543417e-05,2.1075630e-01,1.7563025e-02,5.8533531e-05,9.8858965e-09,2.0861806e-05,3.0761944e-05,2.5811875e-05,9.2922751e-02,7.7435625e-03,2.5799691e-05,1.2183896e-08,4.9629150e-06,3.8123532e-06,4.3876341e-06,1.5795483e-02,1.3162902e-03,4.3832342e-06,4.3999071e-09,5.7231421e-06,4.1810674e-06,4.9521047e-06,1.7827577e-02,1.4856314e-03,4.9507158e-06,1.3889013e-09,6.2468707e-06,4.4370831e-06,5.3419769e-06,1.9231117e-02,1.6025931e-03,5.3402224e-06,1.7545456e-09,2.9786261e-03,4.8351129e-03,6.2750049e-03
2026-01-01T01:15:00+00:00,3.2,1,1,0,0,1.7287189e-02,6.4895615e-03,1.1888375e-02,4.2798151e+01,3.5665126e+00,1.1888375e-02,0.0000000e+00,1.9917900e-05,1.1330934e-04,6.6613622e-05,2.3980904e-01,1.9984087e-02,6.6602935e-05,1.0687688e-08,2.0493211e-05,8.8111712e-05,5.4302462e-05,1.9548886e-01,1.6290738e-02,5.4290328e-05,1.2133772e-08,1.4969226e-05,4.1413958e-05,2.8191592e-05,1.0148973e-01,8.4574775e-03,2.8177508e-05,1.4083601e-08,9.7075656e-06,9.5566358e-06,9.6321007e-06,3.4675562e-02,2.8896302e-03,9.6238820e-06,8.2186304e-09,7.3680959e-06,8.5526977e-06,7.9603968e-06,2.8657428e-02,2.3881190e-03,7.9564460e-06,3.9508379e-09,5.3992373e-06,7.5349271e-06,6.4670822e-06,2.3281496e-02,1.9401247e-03,6.4646390e-06,2.4432299e-09,6.5435615e-03,1.0626718e-02,1.3793713e-02
2026-01-01T01:20:00+00:00,3.2,1,1,0,0,4.4504077e-03,2.1666710e-03,3.3085394e-03,1.1910742e+01,9.9256181e-01,3.3085394e-03,0.0000000e+00,8.3410749e-05,1.1211503e-04,9.7762890e-05,3.5194640e-01,2.9328867e-02,9.7752679e-05,1.0210962e-08,5.9450678e-05,8.4945446e-05,7.2198062e-05,2.5991302e-01,2.1659419e-02,7.2186897e-05,1.1164873e-08,2.6725344e-05,3.5844215e-05,3.1284779e-05,1.1262521e-01,9.3854338e-03,3.1271029e-05,1.3750701e-08,5.5937926e-06,3.2809840e-06,4.4373883e-06,1.5974598e-02,1.3312165e-03,4.4321196e-06,5.2687229e-09,6.7332215e-06,3.2771549e-06,5.0051882e-06,1.8018678e-02,1.5015565e-03,5.0037834e-06,1.4048532e-09,7.5150115e-06,3.2791459e-06,5.3970787e-06,1.9429483e-02,1.6191236e-03,5.3953080e-06,1.7706423e-09,1.8507083e-03,2.9644259e-03,3.8282148e-03
2026-01-01T01:25:00+00:00,3.2,1,1,0,0,6.4874431e-03,2.2970239e-03,4.3922335e-03,1.5812041e+01,1.3176701e+00,4.3922335e-03,0.0000000e+00,5.2603728e-05,9.7855000e-05,7.5229364e-05,2.7082571e-01,2.2568809e-02,7.5218471e-05,1.0893414e-08,3.6196624e-05,7.2284121e-05,5.4240372e-05,1.9526534e-01,1.6272112e-02,5.4227517e-05,1.2855556e-08,2.5143700e-05,3.1362261e-05,2.8252980e-05,1.0171073e-01,8.4758941e-03,2.8237989e-05,1.4990982e-08,1.5186711e-05,4.4090332e-06,9.7978720e-06,3.5272339e-02,2.9393616e-03,9.7891046e-06,8.7674595e-09,1.1649338e-05,4.7758319e-06,8.2125851e-06,2.9565306e-02,2.4637755e-03,8.2080240e-06,4.5610335e-09,8.4908563e-06,5.0297778e-06,6.7603170e-06,2.4337141e-02,2.0280951e-03,6.7572327e-06,3.0842762e-09,2.4484123e-03,3.9334019e-03,5.0851548e-03
2026-01-01T01:30:00+00:00,3.2,1,1,0,0,1.2971842e-02,6.4889302e-03,9.7303860e-03,3.5029390e+01,2.9191158e+00,9.7303860e-03,0.0000000e+00,1.4663584e-04,6.7005771e-05,1.0682081e-04,3.8455491e-01,3.2046242e-02,1.0681057e-04,1.0237879e-08,1.0031422e-04,4.4638543e-05,7.2476383e-05,2.6091498e-01,2.1742915e-02,7.2464756e-05,1.1626797e-08,4.3041321e-05,2.0084204e-05,3.1562763e-05,1.1362595e-01,9.4688289e-03,3.1548395e-05,1.4367551e-08,5.4375284e-06,4.1701415e-06,4.8038350e-06,1.7293806e-02,1.4411505e-03,4.7982606e-06,5.5743456e-09,6.1943872e-06,4.9109060e-06,5.5526466e-06,1.9989528e-02,1.6657940e-03,5.5508036e-06,1.8429899e-09,6.7177776e-06,5.4193623e-06,6.0685699e-06,2.1846852e-02,1.8205710e-03,6.0662487e-06,2.3212584e-09,5.3565690e-03,8.6979406e-03,1.1289571e-02
2026-01-01T01:35:00+00:00,3.2,1,1,0,0,1.7291529e-02,2.1680107e-03,9.7297699e-03,3.5027172e+01,2.9189310e+00,9.7297699e-03,0.0000000e+00,7.9806684e-05,1.1527180e-04,9.7539244e-05,3.5114128e-01,2.9261773e-02,9.7527352e-05,1.1891978e-08,7.1799506e-05,7.4100657e-05,7.2950081e-05,2.6262029e-01,2.1885024e-02,7.2936833e-05,1.3248066e-08,3.0884806e-05,3.5572067e-05,3.3228436e-05,1.1962237e-01,9.9685309e-03,3.3212558e-05,1.5878716e-08,4.3217079e-06,8.5769879e-06,6.4493479e-06,2.3217652e-02,1.9348044e-03,6.4420525e-06,7.2953699e-09,5.4607245e-06,6.4573045e-06,5.9590145e-06,2.1452452e-02,1.7877043e-03,5.9563812e-06,2.6332440e-09,6.2438419e-06,4.6754562e-06,5.4596491e-06,1.9654737e-02,1.6378947e-03,5.4575514e-06,2.0976455e-09,5.3558007e-03,8.6972887e-03,1.1289009e-02
