shield_mm,ref_median_s-1,ref_mean_s-1,ref_p99_s-1,ref_max_s-1,ref_max_timestamp_utc,ref_total_expected_flips,ref_p99_over_median,ref_max_over_median,phys_median_s-1,phys_mean_s-1,phys_p99_s-1,phys_max_s-1,phys_max_timestamp_utc,phys_total_expected_flips,phys_p99_over_median,phys_max_over_median,median_relative_difference,mean_relative_difference,p99_relative_difference,max_relative_difference,total_expected_flips_relative_difference,p99_over_median_relative_difference,max_over_median_relative_difference,temporal_pearson,temporal_log10_pearson,ratio_phys_over_ref_median,ratio_phys_over_ref_p01,ratio_phys_over_ref_p99,ratio_phys_over_ref_at_ref_peak,peak_timestamp_changed
0.0,0.568204556422509,15.50956624823349,70.95878345577489,11033.03505887348,2026-01-19T19:30:00+00:00,78963854.63963115,124.88246117303383,19417.36463420661,0.6398470655761221,17.295264389858087,79.21275988008593,12286.712458277274,2026-01-19T19:30:00+00:00,88055379.58808446,123.79952045066,19202.576864542225,0.12608577024563794,0.11513527284026948,0.11632071496061269,0.1136294222500005,0.11513527284026948,-0.008671679851611325,-0.011061633425063389,0.9999990672704075,0.9999976646887141,1.1261888930706545,1.1070987625638755,1.1267678778302004,1.1136294222500005,False
1.0,0.00010147075724821493,0.07364264484091243,0.3466634035272505,58.70978437529903,2026-01-19T19:20:00+00:00,374936.7976785374,3416.387271844756,578588.2156342324,0.00010941547308096619,0.08060337029574603,0.37877126536279654,64.30813188358226,2026-01-19T19:20:00+00:00,410375.93918673176,3461.7705768407195,587742.5749098117,0.07829561982391753,0.09452030776285403,0.09261970403813358,0.09535629482976993,0.09452030776285425,0.013284004822865958,0.01582189029817105,0.9999999414646751,0.9999940650349859,1.0780922968877298,1.056340472657573,1.0962875406433759,1.09535629482977,False
2.0,6.084417573435228e-05,0.01822368339005154,0.09356238765309897,12.359943108184492,2026-01-19T19:20:00+00:00,92782.23924376942,1537.7377789058316,203140.94092010419,6.534243075672024e-05,0.01984343405102385,0.1017132176590006,13.463564104161312,2026-01-19T19:20:00+00:00,101028.87578397772,1556.618210878844,206046.26960218544,0.07393074140748479,0.08888162871928196,0.08711652417553117,0.08929013558695309,0.08888162871928196,0.012278056917120583,0.014302034188292456,0.9999999629485864,0.9999794415313016,1.0743556789177235,1.0322701941057102,1.090296790973734,1.089290135586953,False
3.0,2.8886786427315624e-05,0.009199369319193301,0.04985804259999738,6.1249307520447385,2026-01-19T19:20:00+00:00,46836.749014808855,1725.9809333741305,212032.26490617677,3.0496265522291417e-05,0.010009228661847006,0.054235590404266176,6.668085024330027,2026-01-19T19:20:00+00:00,50959.98588606167,1778.4338336319365,218652.51072974666,0.05571679283278996,0.08803422436405928,0.08780023394398206,0.08867925112524144,0.08803422436405928,0.030390196811308723,0.031222822745865075,0.999999914259324,0.9999563138683054,1.0560749355756853,0.9915381410958513,1.0902279333341154,1.0886792511252414,False
5.0,7.168244789335396e-06,0.002485993083989759,0.014945673614736098,1.5358618120634686,2026-01-19T19:15:00+00:00,12656.936588517061,2084.983709955277,214259.11882201026,6.706515130440492e-06,0.0026854251391168764,0.0161424292465264,1.6598811520094985,2026-01-19T19:15:00+00:00,13672.305010785753,2406.977235204738,247502.7819553246,-0.06441321027175928,0.08022228879536941,0.08007371649079276,0.08074902245235638,0.08022228879536919,0.15443455203607703,0.15515635141265838,0.9999999952084773,0.9994622470466407,0.9385344483341704,0.8303767492502503,1.0805500096542007,1.0807490224523564,False
7.0,6.742016442970413e-06,0.0014262479102191508,0.008712598994145084,0.8755319954691225,2026-01-19T19:15:00+00:00,7261.455985298763,1292.283854221285,129862.03799339573,6.273122079268521e-06,0.0015426838844102714,0.009422025753890739,0.9478075410262976,2026-01-19T19:15:00+00:00,7854.266460698015,1501.967542609883,151090.2432711491,-0.06954808960615733,0.081637963047553,0.08142538870690519,0.08255043325795164,0.08163796304755278,0.16225822810031998,0.16346736587356636,0.9999999862479176,0.9996006970437388,0.930938909722511,0.8396123262581995,1.0821972563962272,1.0825504332579516,False
10.0,6.157799542570139e-06,0.0005307433867940361,0.00332341112777323,0.31812406426068474,2026-01-19T19:15:00+00:00,2702.173805184475,539.7075862567144,51661.971465850336,5.655692980938215e-06,0.0005758608287542149,0.003609281999642583,0.34596253903909346,2026-01-19T19:15:00+00:00,2931.880237436334,638.1679507369306,61170.67178241741,-0.08153993291934203,0.08500801532867208,0.08601730597829871,0.08750823312629596,0.08500801532867253,0.18243279692085523,0.18405608703594534,0.9999998913398273,0.9995774774887098,0.9196387939062194,0.8468918207242343,1.0865244686063018,1.087508233126296,False
