energy_mev,main_loglog,linear_energy,gap_linear_5_40,low_hold,supported_only_diagnostic,experimental_sigma_cm2_per_bit,experimental_value_type,experimental_source
0.11,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.112686749,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.115439122,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.118258721,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.121147189,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.124106208,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.127137501,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.130242833,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.133424013,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.136682893,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.140021372,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.143441392,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.146944947,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.150534076,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.154210869,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.157977468,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.161836066,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.16578891,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.169838303,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.173986602,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.178236223,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.182589641,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.187049391,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.19161807,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.19629834,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.201092925,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.206004618,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.211036278,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.216190837,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.221471297,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.226880731,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.23242229,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.238099203,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.243914773,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.249872389,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.25597552,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.262227719,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.268632629,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
