frame_ns,pass_s,D,auxiliary_backup,available_before_model_error,remaining_before_model_error,status
360.0,0.18874368,30,0.07562336217098845,0.08828571428571427,0.012662352114725828,analytic_stationary_screen_not_certificate
360.0,0.18874368,300,0.07645561454386195,0.08828571428571427,0.011830099741852326,analytic_stationary_screen_not_certificate
360.0,0.18874368,3000,0.07654036118035629,0.08828571428571427,0.011745353105357986,analytic_stationary_screen_not_certificate
540.0,0.28311552,30,0.08156938843546858,0.08828571428571427,0.0067163258502456885,analytic_stationary_screen_not_certificate
540.0,0.28311552,300,0.08251804378814925,0.08828571428571427,0.0057676704975650195,analytic_stationary_screen_not_certificate
540.0,0.28311552,3000,0.0826147361420303,0.08828571428571427,0.005670978143683975,analytic_stationary_screen_not_certificate
720.0,0.37748736,30,0.08750326172867116,0.08828571428571427,0.000782452557043109,analytic_stationary_screen_not_certificate
720.0,0.37748736,300,0.0885792049106565,0.08828571428571427,-0.0002934906249422303,analytic_stationary_screen_not_certificate
720.0,0.37748736,3000,0.08868898374861302,0.08828571428571427,-0.0004032694628987449,analytic_stationary_screen_not_certificate
1440.0,0.75497472,30,0.1111183638354571,0.08828571428571427,-0.02283264954974283,analytic_stationary_screen_not_certificate
1440.0,0.75497472,300,0.11281118014172964,0.08828571428571427,-0.024525465856015366,analytic_stationary_screen_not_certificate
1440.0,0.75497472,3000,0.11298470074420983,0.08828571428571427,-0.024698986458495553,analytic_stationary_screen_not_certificate
