sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,valid_5min_intervals,q_M_period_event_weighted,q_M_time_median,r_M_background_median_s-1,r_M_p95_s-1,r_M_p99_s-1,r_M_peak_s-1,peak_timestamp_utc,tau_D_upper_background_s,tau_D_upper_p95_s,tau_D_upper_p99_s,tau_D_upper_peak_s,expected_upper_multi_events_valid_period,F_D_upper_valid_period,E_lt_0p9_bit_fraction_period,bit_rate_background_median_s-1
main_loglog,nominal_logE_linear,K1_only,0.0,16971,0.002773859171828383,0.0027435248819758125,0.0015528959958946566,0.04356000086496013,0.19563381172112798,30.56133473617031,2026-01-19T19:30:00+00:00,643.9581289691449,22.95684068281102,5.111590840061327,0.032721083965500636,218428.18700289103,1.0,0.44219539564691906,0.568204556422509
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,16971,0.008492615721195185,0.008555027695585927,0.004818149317392788,0.13369853484788446,0.5978754520609049,92.81273095584423,2026-01-19T19:30:00+00:00,207.5485698191527,7.47951352748742,1.6725891597538465,0.010774383963292182,664960.7747076746,1.0,0.44219539564691906,0.568204556422509
main_loglog,raw_nearest_observed,K1_only,0.0,16971,0.0028140509554518195,0.002792861398207287,0.0015811298813154686,0.04420224620044515,0.19843471929836626,30.98846919402292,2026-01-19T19:30:00+00:00,632.4591115614234,22.623284696105088,5.039440696345084,0.03227006773838576,221584.41870392475,1.0,0.44219539564691906,0.568204556422509
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,16971,0.008533262011655426,0.008605332645461395,0.0048462849035596205,0.1344786281353471,0.6007742269824896,93.23986541369686,2026-01-19T19:30:00+00:00,206.3436260764395,7.436125828064976,1.6645188077103488,0.010725026205937668,668117.0064087083,1.0,0.44219539564691906,0.568204556422509
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,16971,0.0022907917990127517,0.002264369958667515,0.001282027266353525,0.035959171053861025,0.16160956978172122,25.252483607248962,2026-01-19T19:30:00+00:00,780.0146114242201,27.809317364467653,6.187752379705329,0.03960006530656417,180475.875100065,1.0,0.44219539564691906,0.568204556422509
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,16971,0.008004024169988504,0.008070393267501627,0.0045474374511312,0.12618711776161037,0.5637965801366652,87.50387982692291,2026-01-19T19:30:00+00:00,219.90406921402393,7.924739210615584,1.7736893681717585,0.011428064698136085,627008.4628048486,1.0,0.44219539564691906,0.568204556422509
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,16971,0.0027835501561750595,0.002775597311732217,0.0017699635468300062,0.049104893453420485,0.21975148200591313,34.11876241798342,2026-01-19T19:30:00+00:00,564.9833872516718,20.364569183895526,4.550595021575744,0.02930938665796732,244425.95231154148,1.0,0.449964080990388,0.6398470655761221
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,16971,0.008603463704420269,0.008631867860872094,0.005473446509147965,0.15128327410609355,0.675843667955918,104.75706920316861,2026-01-19T19:30:00+00:00,182.7002416719821,6.610116061466976,1.4796321211745453,0.009545895161123434,751118.2971477282,1.0,0.449964080990388,0.6398470655761221
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,0.0,16971,0.002869482496065205,0.0028654461765299554,0.0018274214433119215,0.05070080410681699,0.22655423095122304,35.16170079334388,2026-01-19T19:30:00+00:00,547.2191451292446,19.72355306028657,4.413954203377024,0.028440034965239797,251950.24296245215,1.0,0.449964080990388,0.6398470655761221
published_rpp_fluka_digitized,raw_nearest_observed,low_energy_conservative,0.0,16971,0.008690394399246383,0.008723244237901624,0.005529976578573497,0.1528711148458883,0.6826464169012281,105.80000757852908,2026-01-19T19:30:00+00:00,180.8325922888372,6.54145814929207,1.4648872025716495,0.009451795164171035,758642.587798639,1.0,0.449964080990388,0.6398470655761221
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,K1_only,0.0,16971,0.00229271778631229,0.002285880751729985,0.0014582654427889587,0.04045481749242584,0.18107691620465347,28.116497940786562,2026-01-19T19:30:00+00:00,685.7462096115246,24.71893490032986,5.522515077900919,0.03556630708795965,201424.12749490162,1.0,0.449964080990388,0.6398470655761221
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,low_energy_conservative,0.0,16971,0.008106918865835968,0.008136525981106485,0.00516131111062788,0.14267132020412213,0.6371691021546584,98.75480472597175,2026-01-19T19:30:00+00:00,193.74921963933863,7.009117169234042,1.5694420784347334,0.010126089589006172,708116.4723310884,1.0,0.449964080990388,0.6398470655761221
main_loglog,nominal_logE_linear,K1_only,1.0,16971,0.0035511053252653842,0.010389426984071474,1.0429153721513342e-06,3.8001072064771994e-05,0.0012372239506886077,0.20453805822083942,2026-01-19T19:20:00+00:00,958850.5709118008,26315.047067501724,808.2611070076887,4.8890656765710645,1326.6056985034188,1.0,0.331837793204134,0.00010147075724821493
main_loglog,nominal_logE_linear,low_energy_conservative,1.0,16971,0.007843595901485733,0.014543477961796218,1.4481488974937528e-06,8.361345530624274e-05,0.002693936170402714,0.45412786830961793,2026-01-19T19:20:00+00:00,690536.727080106,11959.797574892687,371.204043728516,2.202022975868581,2917.6948505017654,1.0,0.331837793204134,0.00010147075724821493
main_loglog,raw_nearest_observed,K1_only,1.0,16971,0.003566029211842384,0.010401740582224742,1.0435510356488103e-06,3.822651656235149e-05,0.0012403848975424449,0.20564168092910065,2026-01-19T19:20:00+00:00,958266.501434946,26159.851588069614,806.2013669960705,4.862827397062424,1332.1769659702795,1.0,0.331837793204134,0.00010147075724821493
main_loglog,raw_nearest_observed,low_energy_conservative,1.0,16971,0.007858596339077324,0.014554412480266643,1.449053848786868e-06,8.387246552601148e-05,0.002700195092888107,0.4552314910178792,2026-01-19T19:20:00+00:00,690105.4787143962,11922.864002249566,370.3436105908955,2.196684587360247,2923.266117968627,1.0,0.331837793204134,0.00010147075724821493
main_loglog,false_mcu_aware_logE_linear,K1_only,1.0,16971,0.002980532823047212,0.009830709278740258,9.882908624679078e-07,3.181827775140194e-05,0.001038738194585337,0.17123708072044216,2026-01-19T19:20:00+00:00,1011847.8658224692,31428.476670329495,962.7064887117189,5.839856623300988,1114.08725075372,1.0,0.331837793204134,0.00010147075724821493
