sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,regime,horizon,duration_s,hazard_upper,F_D_upper,window_start_utc,window_end_utc
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,7d,604800,361595.07340643526,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,7d,604800,592619.4542133083,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,30d,2592000,12488.643030682108,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,30d,2592000,346546.6023257165,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,30d,2592000,1549693.1717418653,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,664960.7747076746,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,5min,300,0.47433896439464057,0.377703719468315,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,5min,300,13.260673860133544,0.9999982583434548,,
main_loglog,raw_nearest_observed,K1_only,0.0,p99_constant,5min,300,59.530415789509874,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,5min,300,9296.540758206876,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,1h,3600,5.692067572735687,0.996627387366242,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,1h,3600,159.12808632160252,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p99_constant,1h,3600,714.3649894741185,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,1h,3600,94316.23986398873,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,6h,21600,34.15240543641412,0.9999999999999986,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,6h,21600,954.7685179296152,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p99_constant,6h,21600,4286.189936844711,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,6h,21600,171690.95455251212,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,24h,86400,136.60962174565648,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,24h,86400,3819.074071718461,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p99_constant,24h,86400,17144.759747378845,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,24h,86400,183278.82795884283,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,7d,604800,956.2673522195954,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,7d,604800,26733.518502029227,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p99_constant,7d,604800,120013.31823165191,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,7d,604800,197845.6746721938,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,30d,2592000,4098.288652369694,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,30d,2592000,114572.22215155383,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,p99_constant,30d,2592000,514342.79242136533,1.0,,
main_loglog,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,raw_nearest_observed,K1_only,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,221584.41870392475,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,background_median_constant,5min,300,1.4538854710678861,0.7663393596246268,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p95_constant,5min,300,40.34358844060414,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p99_constant,5min,300,180.23226809474687,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,max_actual_contiguous_window,5min,300,27971.959624109062,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,background_median_constant,1h,3600,17.446625652814635,0.9999999735133672,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p95_constant,1h,3600,484.1230612872496,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p99_constant,1h,3600,2162.7872171369627,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,max_actual_contiguous_window,1h,3600,283957.2768620088,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,background_median_constant,6h,21600,104.6797539168878,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p95_constant,6h,21600,2904.7383677234975,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p99_constant,6h,21600,12976.723302821776,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,max_actual_contiguous_window,6h,21600,516688.86888105667,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,background_median_constant,24h,86400,418.7190156675512,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p95_constant,24h,86400,11618.95347089399,1.0,,
