timestamp_utc,computed_s_1,reference_s_1,relative_error
2026-01-19T04:00:00+00:00,0.0008936630940412551,0.00089366309,4.522123733791279e-09
2026-01-19T04:05:00+00:00,0.0009809424447573926,0.00098094244,4.849818317100266e-09
2026-01-19T04:10:00+00:00,0.0009806606393097808,0.00098066064,7.038307861488404e-10
2026-01-19T04:15:00+00:00,0.0010284937665320385,0.0010284938,3.254075180142382e-08
2026-01-19T04:20:00+00:00,0.0010835457281273076,0.0010835457,2.595857983445652e-08
2026-01-19T04:25:00+00:00,0.0011066172677587527,0.0011066173,2.9134956787154062e-08
2026-01-19T04:30:00+00:00,0.0011374205558748731,0.0011374206,3.87940283008677e-08
2026-01-19T04:35:00+00:00,0.0011856549345462515,0.0011856549,2.9136852125472735e-08
2026-01-19T04:40:00+00:00,0.0012212306678031151,0.0012212307,2.6364293753117664e-08
2026-01-19T04:45:00+00:00,0.001243576673944527,0.0012435767,2.0952043314597253e-08
2026-01-19T04:50:00+00:00,0.00126312815175099,0.0012631282,3.819803091961628e-08
2026-01-19T04:55:00+00:00,0.0013262534508491064,0.0013262535,3.7059953954173414e-08
2026-01-19T05:00:00+00:00,0.001316736480070291,0.0013167365,1.513568502493655e-08
2026-01-19T05:05:00+00:00,0.0013288169238547317,0.0013288169,1.79518576073029e-08
2026-01-19T05:10:00+00:00,0.0013298503570975118,0.0013298504,3.226113869851088e-08
2026-01-19T05:15:00+00:00,0.0014261998382368664,0.0014261998,2.6810315331795826e-08
2026-01-19T05:20:00+00:00,0.0015050127518391077,0.0015050128,3.200032077789121e-08
2026-01-19T05:25:00+00:00,0.001489779991585955,0.00148978,5.647844022823725e-09
2026-01-19T05:30:00+00:00,0.0014745154534544776,0.0014745155,3.156665523533103e-08
2026-01-19T05:35:00+00:00,0.0015789270506216622,0.0015789271,3.12733487126453e-08
2026-01-19T05:40:00+00:00,0.0014991315999519778,0.0014991316,3.2033445219529724e-11
2026-01-19T05:45:00+00:00,0.0015907164392123445,0.0015907164,2.4650745114548618e-08
2026-01-19T05:50:00+00:00,0.001659334411843089,0.0016593344,7.137252749944698e-09
2026-01-19T05:55:00+00:00,0.0016206181281220933,0.0016206181,1.7352696118008404e-08
2026-01-19T06:00:00+00:00,0.0016710640205807147,0.001671064,1.2315934428519394e-08
2026-01-19T06:05:00+00:00,0.001607620179276981,0.0016076202,1.2890494287098224e-08
2026-01-19T06:10:00+00:00,0.0017402663320516339,0.0017402663,1.8417660513449443e-08
2026-01-19T06:15:00+00:00,0.0019020879069060893,0.0019020879,3.630793928490021e-09
2026-01-19T06:20:00+00:00,0.0018739849086959865,0.0018739849,4.6403716605541065e-09
2026-01-19T06:25:00+00:00,0.001889363048707995,0.001889363,2.578011471892731e-08
2026-01-19T06:30:00+00:00,0.0018854734220992548,0.0018854734,1.1720798987594078e-08
2026-01-19T06:35:00+00:00,0.001990422599376788,0.0019904226,3.1310536038420624e-10
2026-01-19T06:40:00+00:00,0.001952633676550917,0.0019526337,1.2008951381917408e-08
2026-01-19T06:45:00+00:00,0.001986595617287845,0.0019865956,8.702246580453782e-09
2026-01-19T06:50:00+00:00,0.002107887558298823,0.0021078876,1.9783396799661134e-08
2026-01-19T06:55:00+00:00,0.002130258522443024,0.0021302585,1.0535352400531743e-08
2026-01-19T07:00:00+00:00,0.002384391056898799,0.0023843911,1.8076397363538117e-08
2026-01-19T07:05:00+00:00,0.0023935435855965523,0.0023935436,6.0176249217406235e-09
2026-01-19T07:10:00+00:00,0.002451447611375699,0.0024514476,4.640400632629656e-09
2026-01-19T07:15:00+00:00,0.0025050676172509397,0.0025050676,6.886416887885871e-09
2026-01-19T07:20:00+00:00,0.0026048362971928573,0.0026048363,1.077665624995989e-09
2026-01-19T07:25:00+00:00,0.0029319172878610722,0.0029319173,4.140269537517031e-09
2026-01-19T07:30:00+00:00,0.003266904162683471,0.0032669042,1.142259658954328e-08
2026-01-19T07:35:00+00:00,0.003685368901562183,0.0036853689,4.238878524661656e-10
2026-01-19T07:40:00+00:00,0.0034884677926664085,0.0034884678,2.1022385911856233e-09
2026-01-19T07:45:00+00:00,0.0031053005295892345,0.0031053005,9.528622015244377e-09
2026-01-19T07:50:00+00:00,0.0029042620249330317,0.002904262,8.584980200710742e-09
2026-01-19T07:55:00+00:00,0.0029436763660534507,0.0029436764,1.1532024760167266e-08
2026-01-19T08:00:00+00:00,0.0027461669449527245,0.0027461669,1.63692617161545e-08
2026-01-19T08:05:00+00:00,0.0027268790603516015,0.0027268791,1.4539844571694166e-08
2026-01-19T08:10:00+00:00,0.0028405783747932466,0.0028405784,8.87381011954118e-09
2026-01-19T08:15:00+00:00,0.0029626239462943477,0.0029626239,1.5626130503975484e-08
2026-01-19T08:20:00+00:00,0.002989038958813391,0.002989039,1.3779214404580648e-08
2026-01-19T08:25:00+00:00,0.0031301030949953453,0.0031301031,1.5988785407061834e-09
2026-01-19T08:30:00+00:00,0.0031749480306029593,0.003174948,9.638885236140758e-09
2026-01-19T08:35:00+00:00,0.003399901532678457,0.0033999015,9.6115893835403e-09
2026-01-19T08:40:00+00:00,0.0036674917918982455,0.0036674918,2.209072290311784e-09
2026-01-19T08:45:00+00:00,0.003795536933112976,0.0037955369,8.724187699662915e-09
2026-01-19T08:50:00+00:00,0.004285050273494197,0.0042850503,6.18564565297607e-09
2026-01-19T08:55:00+00:00,0.0044704157345919265,0.0044704157,7.737966414493444e-09
2026-01-19T09:00:00+00:00,0.004515819823353627,0.0045158198,5.171514415123967e-09
2026-01-19T09:05:00+00:00,0.004782302626397421,0.0047823026,5.519814152916309e-09
2026-01-19T09:10:00+00:00,0.005098852703395928,0.0050988527,6.660181620229938e-10
2026-01-19T09:15:00+00:00,0.005520785883550108,0.0055207859,2.979628642354046e-09
2026-01-19T09:20:00+00:00,0.006122695642351763,0.0061226956,6.917175944828315e-09
2026-01-19T09:25:00+00:00,0.006778318380799477,0.0067783184,2.8326381239159464e-09
2026-01-19T09:30:00+00:00,0.007230549523922619,0.0072305495,3.308547862649697e-09
2026-01-19T09:35:00+00:00,0.00781148237864837,0.0078114824,2.733364625606946e-09
2026-01-19T09:40:00+00:00,0.00805984610524716,0.0080598461,6.510248806254599e-10
