timestamp/window_start,window_duration,shield_mm,sigma_model,direction_scenario,direct_scenario,tau_scrub_s,F_direct,F_acc_product,F_acc_union_upper,F_acc_lower,F_total_product,F_total_upper,F_total_lower,minus_log_S_direct,minus_log_S_acc_product,minus_log_S_total_product
2026-01-19T19:20:00+00:00,5min,1.0,main_loglog,central_mean,D0,1,0.0,0.6148785728625429,0.9541957309470164,1.8216445476175567e-06,0.6148785728625429,0.9541957309470164,1.8216445476504362e-06,0.0,0.9541965992587252,0.9541965992587252
2026-01-19T19:20:00+00:00,5min,1.0,main_loglog,central_mean,DREG,1,0.0,0.6148785276453838,0.9541956135371011,1.8216443234715917e-06,0.6148785276453838,0.9541956135371011,1.8216443234964075e-06,0.0,0.9541964818485963,0.9541964818485963
2026-01-19T04:00:00+00:00,24h,10.0,main_loglog,central_mean,D0,1,0.0,0.0003097643736599841,0.0003098123604620507,5.909260407549514e-10,0.0003097643736599841,0.000309812360462014,5.909260858416587e-10,0.0,0.0003098123605535878,0.0003098123605535878
2026-01-19T04:00:00+00:00,24h,10.0,main_loglog,central_mean,D0,60,0.0,0.0184037217475674,0.01857517677494675,3.5450427945657225e-08,0.0184037217475674,0.0185751767749468,3.545042792651998e-08,0.0,0.0185751771039999,0.0185751771039999
2026-01-19T03:35:00+00:00,24h,10.0,main_loglog,central_mean,D0,3600,0.0,0.6410571202014828,1.0,2.0166281471630166e-06,0.6410571202014828,1.0,2.016628147138988e-06,0.0,1.0245920123494001,1.0245920123494001
2026-01-19T02:15:00+00:00,24h,10.0,main_loglog,central_mean,DCLUSTER_K1_ONLY,1,0.9999889435251629,0.0003043247588813669,0.0003043710749694622,5.805475137413651e-10,0.9999889468899219,0.9999889468904339,0.9999889435251692,11.412494343493034,0.0003043710750578122,11.412798714568092
2026-01-19T02:15:00+00:00,24h,10.0,main_loglog,central_mean,DCLUSTER_K1_ONLY,60,0.9999889435251629,0.018083427305991107,0.018248930442497577,3.482780762898214e-08,0.9999891434641218,0.9999891452940031,0.9999889435255479,11.412494343493034,0.01824893076009354,11.430743274253127
2026-01-19T02:10:00+00:00,24h,10.0,main_loglog,central_mean,DCLUSTER_K1_ONLY,3600,0.9999889431674155,0.6345119553523345,1.0,1.982742463667189e-06,0.9999959588598787,1.0,0.9999889431893384,11.41246198765368,1.0065217099095844,12.418983697563265
2026-01-19T02:15:00+00:00,24h,10.0,main_loglog,central_mean,DCLUSTER_LOW_CONSERVATIVE,1,0.9999999997918777,0.0002992161314460472,0.00029926090543893805,5.708005420605023e-10,0.99999999979194,0.99999999979194,0.9999999997918777,22.29289509085251,0.00029926090552434635,22.293194351758036
2026-01-19T02:15:00+00:00,24h,10.0,main_loglog,central_mean,DCLUSTER_LOW_CONSERVATIVE,60,0.9999999997918777,0.017782537907457117,0.017942546677262066,3.424307847047554e-08,0.9999999997955786,0.9999999997956119,0.9999999997918777,22.29289509085251,0.017942546984283228,22.310837637836794
2026-01-19T02:15:00+00:00,24h,10.0,main_loglog,central_mean,DCLUSTER_LOW_CONSERVATIVE,3600,0.9999999997918777,0.6282614507374317,0.9895635619227082,1.948702528676482e-06,0.9999999999226329,0.999999999997828,0.999999999791878,22.29289509085251,0.9895644963689462,23.282459587221457
2026-01-19T04:00:00+00:00,24h,10.0,main_loglog,central_mean,DREG,1,0.0,0.00030976395849467573,0.00030981194516809923,5.909252486385592e-10,0.00030976395849467573,0.0003098119451681036,5.90925197663239e-10,0.0,0.00030981194525963625,0.00030981194525963625
2026-01-19T04:00:00+00:00,24h,10.0,main_loglog,central_mean,DREG,60,0.0,0.018403697302470084,0.01857515187153515,3.5450380424421864e-08,0.018403697302470084,0.018575151871535134,3.5450380408974524e-08,0.0,0.018575152200587416,0.018575152200587416
2026-01-19T03:35:00+00:00,24h,10.0,main_loglog,central_mean,DREG,3600,0.0,0.6410566190143004,1.0,2.0166254220902916e-06,0.6410566190143004,1.0,2.016625422096574e-06,0.0,1.024590616063638,1.024590616063638
