dwell,trials,learning_failures,frozen_failures,F_learning,F_frozen,learning_passes_given_survival,frozen_passes_given_survival,saving_percent,individual_family95_lower,common_survivor_family95_lower
30,20000,1416,1426,0.0708,0.0713,2407.2886891950066,2420.1370733283084,0.5308948933058567,-76.35633296749708,-76.63871389176785
100,20000,1368,1319,0.0684,0.06595,2283.715543151567,2411.6048391413738,5.303078427863012,38.86999690114193,38.74769848452128
300,20000,1293,1255,0.06465,0.06275,2143.895867856952,2397.6999733262205,10.585315439495025,164.9501769834982,165.19933210130313
1000,20000,1360,1333,0.068,0.06665,2065.6521995708154,2385.128301280334,13.394503831849399,230.44968461010336,230.72057139408554
3000,20000,1289,1269,0.06445,0.06345,2016.1938966383411,2366.625540547755,14.807228178071068,261.56587547192635,261.6845270700038
