dwell,epsilon,policy,first,second,first_passage_lower,first_passage_upper,passes,all_high_Q,optimal_in_declared_class,rejected_cheaper,cheapest_challenger_lower
30,0.1,Fixed,1,1,0.058006803828236086,0.06170135121780868,3600,0.12476614910899878,True,9,0.10804092157740547
30,0.1,Precomputed,2,1,0.08380269773053405,0.0918907463640264,2700,0.18714554128691022,True,97,0.10804092157740547
300,0.1,Fixed,1,1,0.05858265344974603,0.062313877635410256,3600,0.12476614910899878,True,9,0.11017030826859299
300,0.1,Precomputed,2,1,0.08517912517915753,0.09340001693639677,2700,0.18714554128691022,True,97,0.11017030826859299
3000,0.1,Fixed,1,1,0.05864119188866082,0.0623761444824153,3600,0.12476614910899878,True,9,0.11039032297194434
3000,0.1,Precomputed,2,1,0.08532087606435627,0.09355544862286296,2700,0.18714554128691022,True,97,0.11039032297194434
