time_s,previous_period_s,own_count,D_cell_mask_before,D_cell_mask_after,next_period_s,slack_min,slack_max,completed_passes,physical_pending_words_diagnostic_only,local_previous_set_period,local_refined_set_period,PrH_D3000,PrH_D30,last_blocking_node,knownD_slack_unused_for_unknown,remaining_risk_potential_min,remaining_risk_potential_max
347.0,1.0,9.0,33554431.0,33554431.0,1.0,0.011743553115872135,0.011999794786344886,347.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08109137998747303,0.10914276495037711
348.0,1.0,3.0,33554431.0,33554431.0,1.0,0.011743553115872135,0.011999794786344872,348.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08107028230115114,0.10911907225118457
349.0,1.0,7.0,33554431.0,33554431.0,1.0,0.011743553115872135,0.011999794786344858,349.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08104918461482928,0.10909537793108078
350.0,1.0,8.0,33554431.0,33554431.0,1.0,0.011743553115872149,0.011999794786344872,350.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08102808692850741,0.1090716819889848
351.0,1.0,5.0,33554431.0,33554431.0,1.0,0.011743553115872163,0.011999794786344872,351.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08100698924218552,0.10904798442381491
352.0,1.0,11.0,33554431.0,33554431.0,1.0,0.011743553115872177,0.011999794786344872,352.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08098589155586364,0.10902428523448872
353.0,1.0,4.0,33554431.0,33554431.0,1.0,0.01174355311587219,0.011999794786344886,353.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08096479386954175,0.10900058441992307
354.0,1.0,5.0,33554431.0,33554431.0,1.0,0.011743553115872205,0.011999794786344872,354.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08094369618321987,0.10897688197903414
355.0,1.0,5.0,33554431.0,33554431.0,1.0,0.011743553115872218,0.011999794786344858,355.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.080922598496898,0.10895317791073733
356.0,1.0,4.0,33554431.0,33554431.0,1.0,0.011743553115872205,0.011999794786344872,356.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08090150081057614,0.10892947221394735
357.0,1.0,7.0,33554431.0,33554431.0,1.0,0.011743553115872232,0.011999794786344872,357.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08088040312425425,0.1089057648875782
