dwell,comparison,common_survivors,saving_mean,saving_CI95_low,saving_CI95_high,risk_difference_learning_minus_other,risk_diff_CI95_low,risk_diff_CI95_high,stop_pass_saving
30,frozen_uncertainty,18475,12.816725304465495,12.6924494907915,12.94100111813949,-0.0005,-0.0019133944474891678,0.0009133944474891678,12.08675
30,Fixed,18584,1192.7113108049934,1191.3365400505738,1194.086081559413,0.0095,0.00815556139754997,0.010844438602450029,1152.01655
30,Precomputed,18022,293.00982132948616,291.6110249711666,294.4086176878057,-0.01925,-0.02190076020822029,-0.01659923979177971,200.88935
30,PA_DOM_one_setting,17779,676.4969345857472,673.9027023087184,679.091166862776,-0.0164,-0.019901610947429964,-0.012898389052570038,610.59185
30,known_D_RES003_diagnostic,18278,-353.55427289637817,-354.0137692766878,-353.0947765160685,-0.0117,-0.0135984726436583,-0.0098015273563417,-352.5676
100,frozen_uncertainty,18594,127.9164246531139,127.05968301145633,128.77316629477147,0.00245,0.0013548255800327933,0.0035451744199672067,124.8099
100,Fixed,18632,1316.284456848433,1313.359077132393,1319.2098365644729,0.00755,0.006350280480217853,0.008749719519782147,1271.77085
100,Precomputed,18071,416.861435449062,413.88926066716215,419.8336102309619,-0.0212,-0.02377246855073531,-0.01862753144926469,319.2757
100,PA_DOM_one_setting,17996,931.859524338742,927.4635760084078,936.2554726690761,-0.005,-0.008354347713405562,-0.0016456522865944383,877.3956
100,known_D_RES003_diagnostic,18302,-364.60949622992024,-365.6528564222075,-363.566136037633,-0.0139,-0.015805727633501347,-0.01199427236649865,-361.51185
300,frozen_uncertainty,18666,254.19591771134682,252.73389613270905,255.6579392899846,0.0019,0.0008267599600233085,0.0029732400399766915,247.5178
300,Fixed,18707,1456.104132143048,1450.6660412357994,1461.5422230502966,0.0059,0.00483856605137137,0.00696143394862863,1404.53195
300,Precomputed,18136,559.0298853109837,553.5027441262981,564.5570264956692,-0.0229,-0.025443369962026403,-0.020356630037973597,451.60085
300,PA_DOM_one_setting,18093,1066.8538661360747,1059.8756295646708,1073.8321027074785,-0.00615,-0.009406637121090853,-0.0028933628789091464,1011.2126
300,known_D_RES003_diagnostic,18391,-327.81637757598827,-329.176443229879,-326.45631192209754,-0.014,-0.015828422127511538,-0.012171577872488463,-326.3197
1000,frozen_uncertainty,18602,319.87012149231265,317.16651483714776,322.57372814747754,0.00135,0.00035555976561233793,0.002344440234387662,308.1942
1000,Fixed,18640,1534.3478004291846,1524.476366369888,1544.2192344884813,0.0058,0.004747546765081419,0.00685245323491858,1469.20155
1000,Precomputed,18035,645.1375658441918,635.1093879712317,655.1657437171519,-0.0245,-0.02710766638514186,-0.021892333614858143,512.93815
1000,PA_DOM_one_setting,18069,1025.478775803863,1015.0222692896991,1035.935282318027,-0.003,-0.006223401742870378,0.0002234017428703783,970.85085
1000,known_D_RES003_diagnostic,18283,-334.43258764972927,-336.36938268003627,-332.4957926194223,-0.0152,-0.017173184357738902,-0.013226815642261098,-334.2829
3000,frozen_uncertainty,18692,350.6191953777017,346.7121729733853,354.52621778201814,0.001,0.00025376427089815034,0.0017462357291018497,334.4667
3000,Fixed,18711,1583.8061033616589,1569.2450040760225,1598.3672026472952,0.00485,0.0038871312893194107,0.00581286871068059,1506.4206
3000,Precomputed,18179,704.5498652291105,689.7820006702749,719.3177297879462,-0.02185,-0.024285220975858262,-0.01941477902414174,557.45755
3000,PA_DOM_one_setting,18183,843.7011494252873,832.7183944827318,854.6839043678428,-0.003,-0.006092625663845341,9.262566384534007e-05,805.55175
3000,known_D_RES003_diagnostic,18407,-359.6573586135709,-362.2380164390545,-357.07670078808735,-0.01365,-0.015433734918566373,-0.011866265081433628,-355.1538
