policy,first,second,passes,continuum_upper,witness_lower,certified,rejected_cheaper,least_cheaper_lower
Fixed,1,1,3600,0.06636821773035388,0.05864119188766082,True,9,0.11039032297094434
Precomputed,2,1,2700,0.0995429973357902,0.08532087606335627,True,97,0.11039032297094434
