policy,first,second,passes,continuum_upper,witness_lower,certified
Precomputed,30,2,960,1.0586375692610723,0.43067484838013215,False
Precomputed,30,5,420,1.064000000001064,0.44232675377781483,False
Precomputed,30,10,240,1.064000000001064,0.45745745578115493,False
Precomputed,30,20,150,1.064000000001064,0.47650311082365804,False
Precomputed,30,30,120,1.064000000001064,0.4865235368184043,False
Precomputed,30,60,90,1.064000000001064,0.4954276953831296,False
Precomputed,30,100,78,1.064000000001064,0.49526377289119006,False
Precomputed,30,150,72,1.064000000001064,0.4929426679009302,False
Precomputed,30,300,66,1.064000000001064,0.4854260010385782,False
Precomputed,60,0.2,9030,1.064000000001064,0.48505979718485404,False
Precomputed,60,0.5,3630,1.064000000001064,0.4852914256847457,False
Precomputed,60,1,1830,1.064000000001064,0.4856679506669992,False
Precomputed,60,2,930,1.064000000001064,0.4863865696571563,False
Precomputed,60,5,390,1.064000000001064,0.4882907447938621,False
Precomputed,60,10,210,1.064000000001064,0.4907627395940323,False
Precomputed,60,20,120,1.064000000001064,0.49385382583868204,False
Precomputed,60,30,90,1.064000000001064,0.4954274995006025,False
Precomputed,60,60,60,1.064000000001064,0.4964197742697115,False
Precomputed,60,100,48,1.064000000001064,0.4953241601554293,False
Precomputed,60,150,42,1.064000000001064,0.49324954631367596,False
Precomputed,60,300,36,1.064000000001064,0.48622860944153035,False
Precomputed,100,0.2,9018,1.064000000001064,0.49358574207923017,False
Precomputed,100,0.5,3618,1.064000000001064,0.49361967775846055,False
Precomputed,100,1,1818,1.064000000001064,0.4936750774712514,False
Precomputed,100,2,918,1.064000000001064,0.49378165591871276,False
Precomputed,100,5,378,1.064000000001064,0.4940700187144039,False
Precomputed,100,10,198,1.064000000001064,0.4944600553737419,False
Precomputed,100,20,108,1.064000000001064,0.4949819686351267,False
Precomputed,100,30,78,1.064000000001064,0.49526404193189744,False
Precomputed,100,60,48,1.064000000001064,0.4953243720534231,False
Precomputed,100,100,36,1.064000000001064,0.49453409391032915,False
Precomputed,100,150,30,1.064000000001064,0.49293689431820686,False
Precomputed,100,300,24,1.064000000001064,0.48673475535522254,False
Precomputed,150,0.2,9012,1.064000000001064,0.49183955460052414,False
Precomputed,150,0.5,3612,1.064000000001064,0.4918564484743533,False
Precomputed,150,1,1812,1.064000000001064,0.49188428336082984,False
Precomputed,150,2,912,1.064000000001064,0.4919387646606584,False
Precomputed,150,5,372,1.064000000001064,0.492093034766401,False
Precomputed,150,10,192,1.064000000001064,0.4923216260541008,False
Precomputed,150,20,102,1.064000000001064,0.49268504534689267,False
Precomputed,150,30,72,1.064000000001064,0.49294318247721447,False
Precomputed,150,60,42,1.064000000001064,0.4932499999474422,False
Precomputed,150,100,30,1.064000000001064,0.49293716495242995,False
Precomputed,150,150,24,1.064000000001064,0.4918711823924609,False
Precomputed,150,300,18,1.064000000001064,0.4867133265870323,False
Precomputed,300,0.2,9006,1.064000000001064,0.4841459136426029,False
Precomputed,300,0.5,3606,1.064000000001064,0.4841617042479937,False
Precomputed,300,1,1806,1.064000000001064,0.4841878781523903,False
Precomputed,300,2,906,1.064000000001064,0.48423969011581863,False
Precomputed,300,5,366,1.064000000001064,0.4843909041407165,False
Precomputed,300,10,186,1.064000000001064,0.4846292740025509,False
Precomputed,300,20,96,1.064000000001064,0.48505777131423344,False
Precomputed,300,30,66,1.064000000001064,0.48542695817336035,False
Precomputed,300,60,36,1.064000000001064,0.4862296058371492,False
Precomputed,300,100,24,1.064000000001064,0.4867356870782629,False
Precomputed,300,150,18,1.064000000001064,0.4867140759261659,False
Precomputed,300,300,12,1.064000000001064,0.48413495872892714,False
