dwell,candidate,Ms,cap,growth,zero_mode,trials,seed,failures,F,upper95,passes_given_survival
300,6,0.11,5,3,1,2000,132916001,133,0.0665,0.07639542390526638,3098.598821638993
300,7,0.11,20,3,1,2000,132916001,134,0.067,0.07692668320181792,3072.4801714898176
300,8,0.11,300,3,1,2000,132916001,141,0.0705,0.08064149625992058,3070.239376008607
300,9,0.115,5,3,1,2000,132916001,133,0.0665,0.07639542390526638,3098.5940010712375
300,10,0.115,20,3,1,2000,132916001,134,0.067,0.07692668320181792,3073.0621650589496
300,11,0.115,300,3,1,2000,132916001,141,0.0705,0.08064149625992058,3070.831091984938
300,12,0.12,5,3,1,2000,132916001,135,0.0675,0.07745779665006035,3096.6107238605896
300,13,0.12,20,3,1,2000,132916001,137,0.0685,0.07851959194502071,3071.6333870101985
300,14,0.12,300,3,1,2000,132916001,144,0.072,0.08223149219299057,3069.5549568965516
300,15,0.14,5,3,1,2000,132916001,140,0.07,0.08011122747762331,2738.377956989247
300,16,0.14,20,3,1,2000,132916001,145,0.0725,0.08276122501568733,2709.9153638814014
300,17,0.14,300,3,1,2000,132916001,151,0.0755,0.08593691733090933,2708.253109789075
300,18,0.16,5,3,1,2000,132916001,170,0.085,0.09596495225148519,2286.6267759562843
300,19,0.16,20,3,1,2000,132916001,188,0.094,0.10542992772207804,2219.159492273731
300,20,0.16,300,3,1,2000,132916001,216,0.108,0.12009515853104495,2215.645179372197
300,21,0.18,5,3,1,2000,132916001,169,0.0845,0.09543816252315049,2206.742763517204
300,22,0.18,20,3,1,2000,132916001,190,0.095,0.10647967863205308,2138.3292817679558
300,23,0.18,300,3,1,2000,132916001,219,0.1095,0.12166268089315099,2134.161145423919
300,24,0.2,5,3,1,2000,132916001,207,0.1035,0.11538840991834223,1889.0306748466257
300,25,0.2,20,3,1,2000,132916001,228,0.114,0.126361239401879,1798.624717832957
300,26,0.2,300,3,1,2000,132916001,270,0.135,0.14821581125938088,1792.351445086705
1000,0,0.1,5,3,1,2000,133916001,128,0.064,0.07373688547871571,3648.6864316239316
1000,1,0.1,20,3,1,2000,133916001,129,0.0645,0.07426889740017416,3633.7514698022446
