decision_hour,information_source,old_shape_hat_rate_h,controller_hat_rate_h,audit_current_true_rate_h,current_rate_available_to_controller,scan_rate_passes_per_h,equivalent_period_s,instantaneous_reserved_fraction_read_plus_write,action
1,hour_0_completed,10.8034405568,1.8999792416669397,2.013548810274512,false,53.35626759992863,67.47098629524108,0.0021757595088002183,delayed_rate
2,hour_1_completed,11.4492066034,2.013548810274512,2.158426875984151,false,56.54559102038752,63.66544119597264,0.0023058135974919833,delayed_rate
3,hour_2_completed,12.2729953778,2.158426875984151,2.186693260198603,false,60.61413696754298,59.39208541280873,0.0024717205833008245,delayed_rate
4,hour_3_completed,12.4337203978,2.186693260198603,2.2637800793101244,false,61.40792919808625,58.62435107341467,0.002504089807598263,delayed_rate
5,hour_4_completed,12.8720424856,2.2637800793101244,2.102168086614575,false,63.572723875176,56.62805965446031,0.0025923657087275325,delayed_rate
missing_input,local_peak_fallback,,209.9799547729369,,false,5896.773191930332,0.610503385974987,0.24045835514172653,peak_fallback
