memory_mib,epsilon,causal_average_min_fraction,causal_peak_fraction,max_application_load_for_deadline,fixed_risk_root_s,fixed_read_min_fraction_for_risk,fixed_continuous_class_certified,post900_min_lower_bound,post900_crossover_s,connected_full_contract_separator_at_app50,status
4,0.0005,0.002848940744171099,0.4809168330839286,0.5112831669160713,7.925529559761272,0.007938215298498624,True,0.013483686867439948,1551.4877041366449,False,NO_FULL_CONTRACT_SEPARATOR
4,0.001,0.0014244700083518912,0.24045835514172653,0.7517416448582734,15.926133132909436,0.0039503977189538015,True,0.013483686867439948,1551.4877041366449,True,CONNECTED_SEPARATOR
4,0.0025,0.0005697879160447141,0.09618332732063957,0.8960166726793604,40.39949079025793,0.0015573107177670523,True,0.013483686867439948,1551.4877041366449,True,CONNECTED_SEPARATOR
4,0.005,0.0002848939434730196,0.04809166120431177,0.9441083387956882,82.90309769457001,0.0007588927524974833,True,0.013483686867439948,1551.4877041366449,True,CONNECTED_SEPARATOR
4,0.01,0.00014244696809917573,0.02404582998815393,0.968154170011846,175.72375645564773,0.000358031044117131,True,0.013483686867439948,1551.4877041366449,True,CONNECTED_SEPARATOR
4,0.025,5.697878636671015e-05,0.00961833184790111,0.9825816681520989,598.3851897796212,0.00010514057011198881,False,0.013483686867439948,1551.4877041366449,False,FIXED_CONTINUOUS_INCONCLUSIVE
4,0.05,2.848939303786172e-05,0.004809165899390478,0.9873908341006095,,,,,,False,FIXED_CONTINUOUS_INCONCLUSIVE
4,0.1,1.4244696482557525e-05,0.0024045829435552202,0.9897954170564448,,,,,,False,FIXED_CONTINUOUS_INCONCLUSIVE
8,0.0005,0.014651706479530006,2.4732884647837623,-1.4830884647837623,3.9540011949789715,0.04243098363577815,True,0.02678556392334064,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
8,0.001,0.0073258485631840205,1.2366434429593454,-0.24644344295934537,7.927521240775887,0.0211632558153297,True,0.02678556392334064,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
8,0.0025,0.0029303383028953193,0.4946571877201231,0.4955428122798769,19.967865295365065,0.008402107962884908,True,0.02678556392334064,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
8,0.005,0.0014651689643847073,0.24732856228280853,0.7428714377171914,40.45137312970583,0.004147502223522667,True,0.02678556392334064,1551.4877041366462,True,CONNECTED_SEPARATOR
8,0.01,0.0007325844354266242,0.1236642732470925,0.8665357267529075,83.12254677357922,0.00201837126642668,True,0.02678556392334064,1551.4877041366462,True,CONNECTED_SEPARATOR
8,0.025,0.00029303376294687587,0.04946570740420238,0.9407342925957975,228.81214432727143,0.0007332310113751412,True,0.02678556392334064,1551.4877041366462,True,CONNECTED_SEPARATOR
8,0.05,0.00014651687960280904,0.02473285338632877,0.9654671466136712,614.2872420311235,0.0002731167905184976,False,0.02678556392334064,1551.4877041366462,False,FIXED_CONTINUOUS_INCONCLUSIVE
8,0.1,7.325843933374732e-05,0.01236642661422128,0.9778335733857787,,,,,,False,FIXED_CONTINUOUS_INCONCLUSIVE
16,0.0005,0.058606900743559016,9.893166490079805,-8.902966490079805,1.974824195802051,0.169910982817244,True,0.052853661411989994,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
16,0.001,0.029303412959060013,4.946576929567525,-3.9563769295675244,3.954992620642695,0.08484069432864665,True,0.052853661411989994,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
16,0.0025,0.011721356204589667,1.9786292561167347,-0.9884292561167347,9.927930456462175,0.03379801273502992,True,0.052853661411989994,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
16,0.005,0.0058606766057906386,0.9893143754402463,0.0008856245597537483,19.99320373277307,0.016782919060139033,True,0.052853661411989994,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
16,0.01,0.0029303379287694145,0.49465712456561706,0.49554287543438297,40.55567035943824,0.008273672140692679,True,0.052853661411989994,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
16,0.025,0.0011721350817175667,0.19786283466916843,0.7923371653308315,106.11852547158355,0.003161976841544525,True,0.052853661411989994,1551.4877041366462,True,CONNECTED_SEPARATOR
16,0.05,0.0005860675258937517,0.09893141480840476,0.8912685851915952,232.29974670449434,0.001444445483734607,True,0.052853661411989994,1551.4877041366462,True,CONNECTED_SEPARATOR
16,0.1,0.0002930337592056181,0.04946570677265754,0.9407342932273425,651.1320168792545,0.0005153245598460921,False,0.052853661411989994,1551.4877041366462,False,FIXED_CONTINUOUS_INCONCLUSIVE
32,0.0005,0.23442820158004082,39.57276700826432,-38.58256700826432,0.9868697918544195,0.680017410137727,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.001,0.11721380148711803,19.78633298015961,-18.79613298015961,1.9753188158752182,0.33973687417271736,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.0025,0.04688544876244412,7.914521066359973,-6.9243210663599735,4.950198619562612,0.1355680229370869,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.005,0.023442712409179334,3.9572585122334694,-2.967058512233469,9.940456661180946,0.06751084611843913,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.01,0.011721353211581277,1.9786287508804925,-0.9884287508804925,20.044138275800233,0.03348054332723405,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.025,0.004688540566310791,0.7914513790955484,0.19874862090445158,51.398697051015894,0.013056530194411532,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.05,0.0023442701634351333,0.39572566933833686,0.5944743306616631,107.59033494320968,0.0062374435431791,True,0.1029138132993267,1551.4877041366462,False,NO_FULL_CONTRACT_SEPARATOR
32,0.1,0.0011721350517875035,0.1978628296168095,0.7923371703831905,239.71506432764744,0.002799526353849595,True,0.1029138132993267,1551.4877041366462,True,CONNECTED_SEPARATOR
