sigma_model,shield_mm,budget,observability_domain,expected_count_valid_period,fraction_of_budget
published_rpp_fluka_digitized,1.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,264687.7475941576,0.6449884662310034
published_rpp_fluka_digitized,1.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,1064.9614317583184,0.0025950874066077577
published_rpp_fluka_digitized,1.0,bit_flip,NO_GEOMETRY_GT186,11.407377535792884,2.779738392655187e-05
main_loglog,2.0,parent_event,NO_GEOMETRY_LT0p9,30031.44838276171,0.32640029082471594
main_loglog,2.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,60653.34029278852,0.6592178858219979
main_loglog,2.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,1313.9330309393658,0.01428063401926972
main_loglog,2.0,parent_event,NO_GEOMETRY_GT186,9.310231475954831,0.00010118933401631779
main_loglog,2.0,multi_upper,NO_GEOMETRY_LT0p9,389.0241461556794,0.5186990657171835
main_loglog,2.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,302.3767296227471,0.4031691315303889
main_loglog,2.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,56.140910061161534,0.07485457621333254
main_loglog,2.0,multi_upper,NO_GEOMETRY_GT186,2.4579189368066485,0.003277226539095044
main_loglog,2.0,bit_flip,NO_GEOMETRY_LT0p9,30420.472528917388,0.32786956616764573
main_loglog,2.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,60956.31887121656,0.6569826226231111
main_loglog,2.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,1390.9944780650753,0.01499203392160515
main_loglog,2.0,bit_flip,NO_GEOMETRY_GT186,14.453365570378898,0.0001557772876380485
published_rpp_fluka_digitized,2.0,parent_event,NO_GEOMETRY_LT0p9,34909.71343173906,0.3484403370762074
published_rpp_fluka_digitized,2.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,64703.26472756587,0.6458153091313137
published_rpp_fluka_digitized,2.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,568.1751326649953,0.005671061583797353
published_rpp_fluka_digitized,2.0,parent_event,NO_GEOMETRY_GT186,7.343036180376101,7.329220868157598e-05
published_rpp_fluka_digitized,2.0,multi_upper,NO_GEOMETRY_LT0p9,452.2166659173582,0.5523831578692815
published_rpp_fluka_digitized,2.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,326.44920124702713,0.3987580605923345
published_rpp_fluka_digitized,2.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,38.06039063689261,0.04649080928297158
published_rpp_fluka_digitized,2.0,multi_upper,NO_GEOMETRY_GT186,1.938575612004509,0.002367972255412451
published_rpp_fluka_digitized,2.0,bit_flip,NO_GEOMETRY_LT0p9,35361.93009765642,0.3500180500203538
published_rpp_fluka_digitized,2.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,65029.873618475,0.6436761085763578
published_rpp_fluka_digitized,2.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,625.6726105303733,0.006193007748281798
published_rpp_fluka_digitized,2.0,bit_flip,NO_GEOMETRY_GT186,11.399457315921346,0.00011283365500667285
main_loglog,3.0,parent_event,NO_GEOMETRY_LT0p9,15122.21480488068,0.32567751342786155
