shield_mm,rho_case,epsilon,status,fixed_count,precomputed_count,causal_root_count,causal_tree_count
5,0.01,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,0.01,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,0.01,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,0.01,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,M_rho,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,M_rho,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
5,M_rho,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
